comp_id,comp_type,label,pmax_mw,for_rate,mttr_hr,lam_per_hr,mu_per_hr,hf
GEN_596_1,generator,Bus596_Gen1,335.75,0.001,72.0,1.39e-05,0.01388889,1.0
GEN_597_2,generator,Bus597_Gen2,335.75,0.001,72.0,1.39e-05,0.01388889,1.0
GEN_598_S,generator,Bus598_GenS,319.6,0.001,72.0,1.39e-05,0.01388889,1.0
GEN_625_1,generator,Bus625_Gen1,103.0,0.001,1.37,0.00073244,0.73170732,1.0
GEN_626_2,generator,Bus626_Gen2,103.0,0.001,1.37,0.00073244,0.73170732,1.0
GEN_627_S,generator,Bus627_GenS,108.8,0.001,1.37,0.00073244,0.73170732,1.0
GEN_691_1,generator,Bus691_Gen1,37.856,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_692_2,generator,Bus692_Gen2,37.856,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_693_3,generator,Bus693_Gen3,37.856,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_701_1,generator,Bus701_Gen1,240.0,0.001,72.0,1.39e-05,0.01388889,1.0
GEN_702_2,generator,Bus702_Gen2,240.0,0.001,72.0,1.39e-05,0.01388889,1.0
GEN_703_3,generator,Bus703_Gen3,240.0,0.001,72.0,1.39e-05,0.01388889,1.0
GEN_704_4,generator,Bus704_Gen4,240.0,0.001,72.0,1.39e-05,0.01388889,1.0
GEN_711_1,generator,Bus711_Gen1,240.8,0.001,72.0,1.39e-05,0.01388889,1.0
GEN_712_2,generator,Bus712_Gen2,240.8,0.001,72.0,1.39e-05,0.01388889,1.0
GEN_713_3,generator,Bus713_Gen3,240.8,0.001,72.0,1.39e-05,0.01388889,1.0
GEN_714_4,generator,Bus714_Gen4,240.8,0.001,72.0,1.39e-05,0.01388889,1.0
GEN_715_5,generator,Bus715_Gen5,240.8,0.001,72.0,1.39e-05,0.01388889,1.0
GEN_716_6,generator,Bus716_Gen6,240.8,0.001,72.0,1.39e-05,0.01388889,1.0
GEN_801_1,generator,Bus801_Gen1,25.0,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_802_2,generator,Bus802_Gen2,25.0,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_803_3,generator,Bus803_Gen3,25.0,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_804_4,generator,Bus804_Gen4,25.0,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_805_5,generator,Bus805_Gen5,100.0,0.001,1.37,0.00073244,0.73170732,1.0
GEN_825_1,generator,Bus825_Gen1,33.75,0.006565,49.38,0.00013381,0.02024975,1.0
GEN_826_2,generator,Bus826_Gen2,33.75,0.006565,49.38,0.00013381,0.02024975,1.0
GEN_827_3,generator,Bus827_Gen3,33.75,0.006565,49.38,0.00013381,0.02024975,1.0
GEN_828_4,generator,Bus828_Gen4,33.75,0.006565,49.38,0.00013381,0.02024975,1.0
GEN_831_1,generator,Bus831_Gen1,94.5,0.001,1.37,0.00073244,0.73170732,1.0
GEN_832_2,generator,Bus832_Gen2,94.5,0.001,1.37,0.00073244,0.73170732,1.0
GEN_833_3,generator,Bus833_Gen3,94.5,0.001,1.37,0.00073244,0.73170732,1.0
GEN_834_4,generator,Bus834_Gen4,94.5,0.001,1.37,0.00073244,0.73170732,1.0
GEN_841_1,generator,Bus841_Gen1,66.7,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_842_2,generator,Bus842_Gen2,66.7,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_843_3,generator,Bus843_Gen3,66.7,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_851_1,generator,Bus851_Gen1,21.75,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_852_1,generator,Bus852_Gen1,21.75,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_861_1,generator,Bus861_Gen1,21.0,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_862_1,generator,Bus862_Gen1,21.0,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_863_1,generator,Bus863_Gen1,21.0,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_864_1,generator,Bus864_Gen1,21.0,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_865_1,generator,Bus865_Gen1,21.0,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_874_4,generator,Bus874_Gen4,20.84,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_876_1,generator,Bus876_Gen1,18.975,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_877_2,generator,Bus877_Gen2,2.785,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_881_1,generator,Bus881_Gen1,40.0,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_882_2,generator,Bus882_Gen2,40.0,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_891_1,generator,Bus891_Gen1,66.75,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_892_1,generator,Bus892_Gen1,66.75,0.001,48.0,2.085e-05,0.02083333,1.0
