gen,cap_mw,fuel,match,cp2,cp1,cp0
0,590.0,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
1,666.8,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
2,666.8,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
3,485.0,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
4,485.0,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
5,752.0,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
6,752.0,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
7,752.0,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
8,151.5,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
9,151.5,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
10,151.5,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
11,270.7,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
12,151.5,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
13,151.5,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
14,151.5,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
15,270.7,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
16,233.4,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
17,233.4,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
18,241.25,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
19,233.4,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
20,233.4,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
21,241.25,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
22,233.4,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
23,233.4,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
24,241.25,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
25,233.4,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
26,233.4,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
27,241.25,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
28,327.25,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
29,327.25,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
30,326.0,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
31,366.4,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
32,366.4,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
33,390.8,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
34,366.4,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
35,366.4,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
36,390.8,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
37,61.2,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
38,40.0,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
39,29.75,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
40,537.9,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
41,537.9,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
42,537.9,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
43,537.9,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
44,525.0,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
45,525.0,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
46,525.0,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
47,525.0,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
48,525.0,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
49,525.0,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
50,69.7,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
51,69.7,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
52,69.7,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
53,69.7,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
54,456.5,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
55,456.5,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
56,456.0,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
57,456.5,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
58,456.5,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
59,456.0,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
60,335.75,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
61,335.75,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
62,319.6,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
63,335.75,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
64,335.75,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
65,319.6,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
66,335.75,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
67,335.75,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
68,319.6,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
69,90.0,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
70,90.0,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
71,84.28,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
72,117.6,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
73,84.28,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
74,90.0,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
75,84.28,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
76,125.42,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
77,103.0,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
78,103.0,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
79,108.8,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
80,37.856,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
81,37.856,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
82,37.856,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
83,37.856,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
84,37.856,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
85,37.856,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
86,240.0,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
87,240.0,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
88,240.0,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
89,240.0,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
90,240.8,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
91,240.8,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
92,240.8,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
93,240.8,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
94,240.8,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
95,240.8,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
96,25.0,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
97,25.0,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
98,25.0,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
99,25.0,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
100,100.0,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
101,33.75,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
102,33.75,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
103,33.75,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
104,33.75,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
105,94.5,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
106,94.5,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
107,94.5,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
108,94.5,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
109,66.7,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
110,66.7,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
111,66.7,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
112,21.75,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
113,21.75,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
114,21.0,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
115,21.0,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
116,21.0,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
117,21.0,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
118,21.0,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
119,10.35,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
120,10.35,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
121,15.3,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
122,20.84,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
123,18.975,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
124,2.785,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
125,40.0,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
126,40.0,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
127,66.75,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
128,66.75,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
129,939.0,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
130,939.0,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
131,79.0,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
132,79.0,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
133,7.99,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
134,7.99,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
135,7.99,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
136,7.99,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
137,9.87,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
