comp_type,comp_name,voltage_code,max_hf,sum_storm_lambda,base_lambda,n_disasters,total_outage_hr,disasters,composite_hf
line,楓港～墾丁線,L,1.013,0.001302,0.1,1,0.83,小犬,1.013
line,楓港～枋山線,L,1.001,0.000104,0.1,1,0.07,小犬,1.001
line,汐止～板橋白線,L,1.1778,0.017778,0.1,1,2.13,康芮,1.1778
line,汐止～板橋紅線,L,1.0,0.0,0.1,1,0.0,康芮,1.0
line,深坑~政大,L,1.0,0.0,0.1,1,0.0,康芮,1.0
line,深美~七張一路,L,1.0014,0.000139,0.1,1,0.02,康芮,1.0014
line,深美~七張二路,L,1.0014,0.000139,0.1,1,0.02,康芮,1.0014
line,深美~台北、南港、臥龍、義捷線,L,1.0236,0.002361,0.1,1,0.28,康芮,1.0236
line,深美~龍潭 紅線,L,1.0,0.0,0.1,1,0.0,康芮,1.0
line,深美~龍潭紅線,L,1.0014,0.000139,0.1,1,0.02,康芮,1.0014
line,深美～冬山一路,L,1.0069,0.000694,0.1,1,0.08,康芮,1.0069
line,深美～冬山二路,L,1.0458,0.004583,0.1,1,0.55,康芮,1.0458
line,深美～板橋白線,L,1.0,0.0,0.1,1,0.0,康芮,1.0
line,深美～板橋紅線,L,2.2694,0.126944,0.1,1,15.23,康芮,2.2694
line,清水～銅門線,L,6.1333,0.513333,0.1,1,61.6,康芮,6.1333
line,溪口~鳳林、生豐光線,L,1.0014,0.000139,0.1,1,0.02,康芮,1.0014
line,烏來～桂山線,L,1.1625,0.01625,0.1,1,1.95,康芮,1.1625
line,玉里～東成線,L,1.0014,0.000139,0.1,1,0.02,康芮,1.0014
line,瑞穗～富里線,L,6.0111,0.501111,0.1,1,60.13,康芮,6.0111
line,瑞芳～雙溪線,L,4.3694,0.336944,0.1,1,40.43,康芮,4.3694
line,田寮~新西、學甲線,L,1.0035,0.000347,0.1,1,0.08,丹娜絲,1.0035
line,碧海~冬山線,L,2.0347,0.103472,0.1,1,12.42,凱米,2.0347
line,福安～榮華線,L,1.0861,0.008611,0.1,1,1.03,康芮,1.0861
line,秀林~中正、福隆、嘉酒、福隆二線,L,1.0021,0.000208,0.1,1,0.05,丹娜絲,1.0021
line,秀林~頭橋、福隆二線,L,1.0007,6.9e-05,0.1,1,0.02,丹娜絲,1.0007
line,立霧～北埔線,L,3.625,0.2625,0.1,1,31.5,康芮,3.625
line,立霧～花蓮線,L,3.6264,0.44166700000000003,0.1,2,53.0,"凱米, 康芮",5.4167
line,羅東~信大、冬石、東南、新星儲線,L,1.0014,0.000139,0.1,1,0.02,康芮,1.0014
