disaster,district,line_name,phase,fault_time,restore_time
康芮,台北供電區處,核一～汐止白線,R,2024-10-31 14:42:00,2024-10-31 14:47:00
康芮,台北供電區處,核二～汐止四路,R,2024-10-31 20:17:00,2024-10-31 21:22:00
康芮,台北供電區處,烏來～桂山線,R,2024-10-31 21:03:00,2024-10-31 23:00:00
康芮,台北供電區處,基隆～暖暖、福祿線,R,2024-10-31 20:38:00,2024-10-31 20:39:00
康芮,台北供電區處,深坑~政大 ,T,2024-10-31 21:25:00,2024-10-31 21:25:00
康芮,台北供電區處,深美~七張一路 ,S,2024-10-31 19:59:00,2024-10-31 20:00:00
康芮,台北供電區處,深美~七張二路 ,S,2024-10-31 19:59:00,2024-10-31 20:00:00
康芮,台北供電區處,深美～冬山一路,R,2024-10-31 21:35:00,2024-10-31 21:40:00
康芮,台北供電區處,深美～冬山二路,RS,2024-10-31 21:24:00,2024-10-31 21:57:00
康芮,台北供電區處,深美~台北、南港、臥龍、義捷線 ,T,2024-10-31 19:59:00,2024-10-31 20:16:00
康芮,台北供電區處,深美～板橋白線,R,2024-10-31 20:05:00,2024-10-31 20:05:00
康芮,台北供電區處,深美～板橋紅線,R,2024-10-31 14:43:00,2024-10-31 14:49:00
康芮,台北供電區處,深美～板橋紅線,R,2024-10-31 14:45:00,2024-10-31 14:49:00
康芮,台北供電區處,深美～板橋紅線,R,2024-10-31 16:34:00,2024-10-31 16:34:00
康芮,台北供電區處,深美～板橋紅線,R,2024-10-31 16:53:00,2024-10-31 16:53:00
康芮,台北供電區處,深美～板橋紅線,R,2024-10-31 16:59:00,2024-11-01 08:03:00
康芮,台北供電區處,深美~龍潭 紅線,R,2024-10-31 14:23:00,2024-10-31 14:23:00
康芮,台北供電區處,博嘉～木柵線,T,2024-10-31 20:08:00,2024-10-31 20:49:00
康芮,台北供電區處,博嘉～深坑、木柵線,T,2024-10-31 20:08:00,2024-10-31 20:49:00
康芮,台北供電區處,陽明～興仁線,S,2024-10-31 19:22:00,2024-11-01 13:30:00
康芮,台北供電區處,瑞芳～雙溪線,R,2024-10-31 18:16:00,2024-11-01 18:23:00
康芮,台北供電區處,瑞芳～雙溪線,S,2024-10-31 19:40:00,2024-11-01 11:59:00
康芮,台北供電區處,羅東~信大、冬石、東南、新星儲線 ,R,2024-10-31 17:52:00,2024-10-31 17:53:00
康芮,新桃供電區處,中壢～六機線,RS,2024-10-31 12:49:00,2024-10-31 23:49:00
康芮,新桃供電區處,日南~廣源 中威線,R,2024-10-31 18:30:00,2024-10-31 18:31:00
康芮,新桃供電區處,仙渡~頂湖二路 ,R,2024-10-31 18:31:00,2024-10-31 19:31:00
康芮,新桃供電區處,深美~龍潭紅線 ,R,2024-10-31 14:23:00,2024-10-31 14:24:00
康芮,新桃供電區處,新竹~鐵竹白線 ,R,2024-10-31 15:42:00,2024-10-31 15:43:00
康芮,新桃供電區處,新竹~鐵竹紅線 ,R,2024-10-31 15:42:00,2024-10-31 15:43:00
康芮,新桃供電區處,福安～榮華線,R,2024-10-31 13:17:00,2024-10-31 13:19:00
康芮,新桃供電區處,福安～榮華線,R,2024-10-31 14:03:00,2024-10-31 14:04:00
康芮,新桃供電區處,福安～榮華線,R,2024-10-31 14:07:00,2024-10-31 14:10:00
康芮,新桃供電區處,福安～榮華線,R,2024-10-31 14:12:00,2024-10-31 15:07:00
康芮,新桃供電區處,福安～榮華線,R,2024-10-31 15:53:00,2024-10-31 15:54:00
康芮,台中供電區處,松林～埔里線,R,2024-10-31 13:32:00,2024-10-31 18:00:00
康芮,花東供電區處,大觀~鳳林線 ,T,2024-10-30 23:28:00,2024-10-30 23:32:00
康芮,花東供電區處,大觀~鳳林線 ,T,2024-10-30 23:37:00,2024-10-30 23:48:00
康芮,花東供電區處,大觀~鳳林線 ,T,2024-10-31 00:46:00,2024-10-31 00:51:00
康芮,花東供電區處,大觀~鳳林線 ,T,2024-10-31 01:20:00,2024-10-31 01:22:00
康芮,花東供電區處,大觀~鳳林線 ,T,2024-10-31 12:56:00,2024-11-01 17:00:00
康芮,花東供電區處,玉里～東成線,T,2024-10-31 11:11:00,2024-10-31 11:11:00
康芮,花東供電區處,玉里～東成線,T,2024-10-31 12:21:00,2024-10-31 12:22:00
康芮,花東供電區處,立霧～北埔線,R,2024-10-31 09:30:00,2024-11-01 17:00:00
康芮,花東供電區處,立霧～花蓮線,R,2024-10-31 09:29:00,2024-11-01 17:00:00
康芮,花東供電區處,明潭～鳳林線,RST,2024-10-31 09:58:00,2024-11-01 17:00:00
康芮,花東供電區處,明潭～鳳林線,T,2024-10-31 10:12:00,2024-10-31 10:12:00
康芮,花東供電區處,明潭～鳳林線,R,2024-10-31 10:41:00,2024-10-31 10:43:00
康芮,花東供電區處,明潭～鳳林線,RST,2024-10-31 10:41:00,2024-10-31 10:43:00
康芮,花東供電區處,明潭～鳳林線,T,2024-10-31 12:07:00,2024-10-31 12:07:00
康芮,花東供電區處,明潭～鳳林線,RST,2024-10-31 12:35:00,2024-10-31 12:37:00
康芮,花東供電區處,花蓮~北埔、佳山線 ,R,2024-10-31 09:30:00,2024-11-01 17:00:00
康芮,花東供電區處,花蓮~北埔、佳山線 ,S,2024-10-31 09:31:00,2024-11-01 17:00:00
康芮,花東供電區處,花蓮~北埔、佳山線 ,T,2024-10-31 10:19:00,2024-11-01 14:17:00
康芮,花東供電區處,清水～銅門線,T,2024-10-31 01:22:00,2024-10-31 01:55:00
康芮,花東供電區處,清水～銅門線,T,2024-10-31 02:10:00,2024-11-01 17:00:00
康芮,花東供電區處,清水～銅門線,T,2024-10-31 18:47:00,2024-11-01 17:00:00
康芮,花東供電區處,富里～重安線,T,2024-10-31 10:30:00,2024-10-31 10:30:00
康芮,花東供電區處,富里～重安線,T,2024-10-31 11:03:00,2024-10-31 11:03:00
康芮,花東供電區處,富里～重安線,T,2024-10-31 11:07:00,2024-10-31 11:07:00
康芮,花東供電區處,富里～重安線,T,2024-10-31 11:18:00,2024-10-31 11:21:00
康芮,花東供電區處,富里～重安線,R,2024-10-31 11:29:00,2024-11-01 17:00:00
康芮,花東供電區處,富里～重安線,T,2024-10-31 14:55:00,2024-11-01 17:00:00
康芮,花東供電區處,溪口~鳳林、生豐光線 ,S,2024-10-31 15:42:00,2024-10-31 15:43:00
康芮,花東供電區處,瑞穗～富里線,T,2024-10-31 13:20:00,2024-10-31 13:21:00
康芮,花東供電區處,瑞穗～富里線,T,2024-10-31 13:26:00,2024-11-01 17:00:00
康芮,花東供電區處,瑞穗～富里線,RS,2024-10-31 13:49:00,2024-11-01 22:22:00
康芮,花東供電區處,銅門~花蓮、榕樹 甲線,S,2024-10-31 15:16:00,2024-10-31 15:18:00
康芮,花東供電區處,銅門～溪口線,T,2024-10-31 09:45:00,2024-11-01 17:00:00
康芮,花東供電區處,銅門～溪口線,S,2024-10-31 15:28:00,2024-10-31 15:35:00
康芮,花東供電區處,鳳林~花蓮、 壽豐二路,T,2024-10-31 13:10:00,2024-10-31 13:14:00
康芮,花東供電區處,龍溪~龍澗、龍溪抽水站線 ,ST,2024-10-31 14:13:00,2024-11-01 17:00:00
康芮,花東供電區處,龍澗～花蓮乙線,R,2024-10-31 01:22:00,2024-10-31 02:56:00
康芮,花東供電區處,龍澗～花蓮乙線,R,2024-10-31 06:08:00,2024-10-31 06:10:00
康芮,花東供電區處,龍澗～花蓮乙線,T,2024-10-31 06:35:00,2024-10-31 07:09:00
康芮,花東供電區處,龍澗～花蓮乙線,T,2024-10-31 08:22:00,2024-10-31 08:38:00
康芮,花東供電區處,關山～東河線,T,2024-10-31 11:59:00,2024-10-31 11:59:00
康芮,花東供電區處,關山~富里線 ,ST,2024-10-31 12:14:00,2024-10-31 12:15:00
康芮,花東供電區處,關山~富里線 ,RS,2024-10-31 12:36:00,2024-11-01 17:00:00
凱米,台北供電區處,和仁~蘇東線 ,ST,2024-07-24 23:50:00,2024-07-25 00:00:00
凱米,台北供電區處,和仁~蘇東線 ,R,2024-07-24 23:51:00,2024-07-25 00:00:00
凱米,台北供電區處,和仁~蘇東線 ,R,2024-07-24 23:55:00,2024-07-25 00:16:00
凱米,台北供電區處,和平~冬山白線,R,2024-07-24 23:53:00,2024-07-24 23:59:00
凱米,台北供電區處,碧海~冬山線 ,R,2024-07-24 23:50:00,2024-07-24 23:51:00
凱米,新桃供電區處,后里~義和紅線 ,T,2024-07-24 15:17:00,2024-07-24 15:17:00
凱米,新桃供電區處,峨眉~中寮、霧峰白線 ,R,2024-07-24 14:18:00,2024-07-24 15:23:00
凱米,新桃供電區處,峨眉~中寮、霧峰白線 ,R,2024-07-24 15:41:00,2024-07-24 20:47:00
凱米,新桃供電區處,通霄~三義 銅鑼線,RT,2024-07-24 14:34:00,2024-07-24 14:35:00
凱米,新桃供電區處,通霄~三義 銅鑼線,RT,2024-07-24 15:17:00,2024-07-24 15:18:00
凱米,台中供電區處,后里~義和 紅線,T,2024-07-24 15:17:00,2024-07-24 15:17:00
凱米,台中供電區處,峨眉~中寮、 霧峰白線,R,2024-07-24 14:18:00,2024-07-24 15:23:00
凱米,台中供電區處,峨眉~中寮、 霧峰白線,R,2024-07-24 15:41:00,2024-07-25 17:00:00
凱米,嘉南供電區處,台南～保安線,R,2024-07-24 01:29:00,2024-07-24 09:00:00
凱米,花東供電區處,立霧～花蓮線,RS,2024-07-24 17:56:00,2024-07-24 18:07:00
凱米,花東供電區處,立霧～花蓮線,R,2024-07-24 18:40:00,2024-07-24 18:40:00
凱米,花東供電區處,立霧～花蓮線,R,2024-07-24 18:41:00,2024-07-24 18:41:00
凱米,花東供電區處,立霧～花蓮線,R,2024-07-24 18:42:00,2024-07-25 16:00:00
凱米,花東供電區處,碧海~冬山線 ,S,2024-07-24 23:50:00,2024-07-25 12:14:00
凱米,花東供電區處,關山~富里線 ,T,2024-07-24 14:04:00,2024-07-24 14:05:00
小犬,台中供電區處,中港-沙鹿線,R,2023-10-05 08:02:00,2023-10-05 09:18:00
小犬,台中供電區處,中寮～嘉民一路,T,2023-10-04 15:13:00,2023-10-04 15:13:00
小犬,台中供電區處,萬大～鉅工線,S,2023-10-05 10:09:00,2023-10-05 10:17:00
小犬,台中供電區處,德基～天輪南線,ST,2023-10-05 07:53:00,2023-10-05 07:57:00
小犬,台中供電區處,關連~玻福、玻三線 ,ST,2023-10-04 23:12:00,2023-10-04 23:13:00
小犬,嘉南供電區處,中寮～嘉民一路,T,2023-10-04 15:24:00,2023-10-04 15:13:00
小犬,嘉南供電區處,北港～台西線,T,2023-10-05 05:14:00,2023-10-05 05:14:00
小犬,嘉南供電區處,北港～台西線,T,2023-10-05 05:26:00,2023-10-05 05:30:00
小犬,嘉南供電區處,北港～台西線,T,2023-10-05 06:59:00,2023-10-05 07:02:00
小犬,嘉南供電區處,北港～台西線,T,2023-10-05 07:16:00,2023-10-05 12:05:00
小犬,嘉南供電區處,善化~善啤 得力分歧線,R,2023-10-04 23:47:00,2023-10-04 23:50:00
小犬,嘉南供電區處,廣宇~永麒 、東石線,R,2023-10-05 17:52:00,2023-10-08 15:44:00
小犬,高屏供電區處,大鵬～楓港海線,RS,2023-10-05 08:41:00,2023-10-05 08:51:00
小犬,高屏供電區處,合豐光~枋山、恆春線 ,R,2023-10-05 08:27:00,2023-10-05 08:29:00
小犬,高屏供電區處,合豐光~枋山、恆春線 ,RT,2023-10-05 08:54:00,2023-10-05 13:48:00
小犬,高屏供電區處,枋山～恆春線,R,2023-10-05 08:27:00,2023-10-05 08:29:00
小犬,高屏供電區處,枋山～恆春線,S,2023-10-05 08:47:00,2023-10-05 08:48:00
小犬,高屏供電區處,枋寮~鐵枋線 ,RST,2023-10-05 10:26:00,2023-10-05 10:29:00
小犬,高屏供電區處,恆春～海博線,RST,2023-10-05 09:49:00,2023-10-05 10:41:00
小犬,高屏供電區處,核三～大鵬二路,T,2023-10-05 07:45:00,2023-10-05 07:46:00
小犬,高屏供電區處,核三～大鵬二路,S,2023-10-05 07:54:00,2023-10-05 09:25:00
小犬,高屏供電區處,核三～大鵬二路,RS,2023-10-05 09:40:00,2023-10-05 09:49:00
小犬,高屏供電區處,核三～大鵬三路,RS,2023-10-05 09:54:00,2023-10-05 09:55:00
小犬,高屏供電區處,核三～楓港線,R,2023-10-05 07:01:00,2023-10-05 07:04:00
小犬,高屏供電區處,核三～楓港線,T,2023-10-05 07:58:00,2023-10-05 14:55:00
小犬,高屏供電區處,核三～瀰力線,T,2023-10-05 09:22:00,2023-10-05 09:23:00
小犬,高屏供電區處,楓港~九鵬、楓公線 ,RST,2023-10-05 04:54:00,2023-10-05 16:30:00
小犬,高屏供電區處,楓港～枋山線,S,2023-10-05 08:43:00,2023-10-05 08:47:00
小犬,高屏供電區處,楓港～墾丁線,ST,2023-10-05 07:43:00,2023-10-05 08:33:00
小犬,花東供電區處,台東～東河線,R,2023-10-05 12:13:00,2023-10-05 20:00:00
小犬,花東供電區處,台東~知本、 加津線,ST,2023-10-05 05:43:00,2023-10-05 06:03:00
小犬,花東供電區處,台東~知本、 加津線,R,2023-10-05 06:06:00,2023-10-05 08:06:00
