bus_i,name,base_kv,ide,area,zone,vm,va
9500,台龍CG,161.0,1,1,1,1.01939,-32.1712
9501,台龍L,69.0,1,1,1,1.02761,-31.2236
9502,台龍LT2,13.8,2,1,102,1.0,-29.7129
9503,台龍SGP,11.4,2,1,102,1.07899,-31.2236
9504,台龍LT3,13.8,2,1,102,1.0,-30.6576
9505,利焚CG,161.0,1,1,1,1.01757,-32.2855
9506,利焚G,11.4,2,1,102,1.01884,-29.3331
9610,南亞CG,161.0,1,1,6,0.99894,-35.0624
9611,南亞G,22.8,2,1,102,0.99894,-35.0624
9612,華亞CG,161.0,1,1,6,0.99909,-35.0023
9613,華亞,161.0,1,1,6,0.99798,-29.5757
9614,華亞G,18.0,2,1,102,1.0,-27.1673
9615,錦興CG,161.0,1,1,6,1.00543,-32.4841
9616,錦興G1,11.4,2,1,102,1.00633,-31.1587
9617,錦興G2,11.4,2,1,102,1.00543,-32.4841
9720,中龍CG,161.0,1,2,15,1.00688,-14.9738
9721,中龍L1,33.0,1,2,15,1.00668,-14.3555
9722,中龍TG1,13.8,2,2,15,1.00621,-12.6069
9723,中龍TG2,13.8,2,2,15,1.00668,-14.3555
9724,中龍TRT1,11.5,2,2,15,1.00668,-14.3555
9725,中龍TRT2,11.5,2,2,15,1.00668,-14.3555
9726,中龍CDQ1,11.5,2,2,15,1.00668,-14.3555
9727,中龍CDQ2,11.5,2,2,15,1.00668,-14.3555
9728,中龍L2,33.0,1,2,15,1.00688,-14.9738
9729,中龍TG3,13.8,2,2,15,1.00688,-14.9738
9730,中龍L3,33.0,1,2,15,1.00688,-14.9738
9731,中龍TG4,13.8,2,2,15,1.00688,-14.9738
9740,台化CG,161.0,1,2,17,1.00461,-4.0753
9741,台化G6,11.4,2,2,104,1.00461,-4.0753
9742,台化G7,11.4,2,2,104,1.00461,-4.0753
9743,台化G8,11.4,2,2,104,1.00461,-4.0753
9744,台化L,69.0,1,2,17,1.00461,-4.0753
9760,塑化E,345.0,1,2,19,1.01599,-3.6001
9761,塑化#3,161.0,1,2,19,1.00768,-1.1806
9762,塑化#4,161.0,1,2,19,1.00768,-1.1806
9763,塑化G-A,19.0,2,2,104,0.99,4.5399
9764,塑化G-B,19.0,2,2,104,0.99,4.8176
9765,塑化G-C,19.0,2,2,104,0.98927,-3.6001
9766,塑化ASTR,6.9,1,2,19,1.00778,-1.1536
9767,塑化BSTR,6.9,1,2,19,1.01599,-3.6001
9768,塑化CSTR,6.9,1,2,19,1.01599,-3.6001
9770,塑化2A-H,161.0,1,2,19,1.0076,-1.0945
9771,塑化2A_E#A,345.0,1,2,19,1.016,-3.5983
9772,塑化2A-E #B,345.0,1,2,19,1.016,-3.5984
9773,海豐區,161.0,1,2,19,1.00773,-1.0957
9774,海豐G4,11.0,2,2,104,0.96187,-1.0957
9775,海豐G5,11.0,2,2,104,0.96187,-1.0957
9776,海豐G1,11.0,2,2,104,0.96187,-1.0957
9777,海豐G2,11.0,2,2,104,0.96187,-1.0957
9778,海豐G3,11.0,2,2,104,0.96187,-1.0957
9780,塑化二區(乙),161.0,1,2,19,1.00778,-1.1536
9781,塑化二區(甲),161.0,1,2,19,0.99832,-1.1574
9782,塑化一區,161.0,1,2,19,0.99836,-1.1578
9783,塑化G1,11.0,2,2,104,0.95293,-1.1578
9784,塑化G2,11.0,2,2,104,0.95293,-1.1578
9785,塑化G3,11.0,2,2,104,0.95293,-1.1578
9786,塑化G4,11.0,2,2,104,0.95293,-1.1578
9787,塑化G5,11.0,2,2,104,0.95293,-1.1578
9788,塑化煉製,161.0,1,2,19,0.99832,-1.1575
9789,煉油G1,13.8,2,2,104,0.97397,-1.1575
9790,煉油G2,13.8,2,2,104,0.97397,-1.1575
9800,台嘉CG,161.0,1,3,40,0.99972,-7.2469
9801,台嘉L,69.0,1,3,40,0.99716,-4.798
9802,台嘉G1,12.5,2,3,103,0.99757,-1.8752
9803,台嘉G2,12.5,2,3,103,0.99757,-1.8752
9804,台嘉G3,12.5,2,3,103,0.99716,-4.798
9805,台嘉G4,13.8,2,3,103,0.99972,-7.2469
