from_bus,to_bus,mid_bus,ckt,name,status,hv_bus,mv_bus,lv_bus,vn_hv_kv,vn_mv_kv,vn_lv_kv,sn_hv_mva,sn_mv_mva,sn_lv_mva,shift_hv_deg,shift_mv_deg,shift_lv_deg,r_hv_pu,x_hv_pu,r_mv_pu,x_mv_pu,r_lv_pu,x_lv_pu,vk_hv_pct,vkr_hv_pct,vk_mv_pct,vkr_mv_pct,vk_lv_pct,vkr_lv_pct,r12_pu,x12_pu,sbase12_mva,r23_pu,x23_pu,sbase23_mva,r31_pu,x31_pu,sbase31_mva,vmstar,anstar
9160,9161,9162,1,國光 GT.T1                              ,1,9160,9161,9162,345.0,18.0,18.0,360.0,180.0,180.0,0.0,0.0,0.0,5.555555555555305e-06,0.0032805555555555505,0.0010666666666666667,0.05900833333333334,0.0011055555555555556,0.05904166666666667,1.1809999999999983,0.00199999999999991,10.621500000000001,0.192,10.627500000000001,0.199,0.00193,0.11212,180.0,0.00391,0.21249,180.0,0.002,0.11218,180.0,0.9991,-27.0839
9320,9321,9324,1,嘉惠 G.T1                               ,1,9320,9324,9321,161.0,18.0,18.0,496.4,300.0,196.4,0.0,0.0,0.0,0.0005174100475220639,0.030130257976917853,0.0002870706042090971,0.02059784792939579,0.00014959606245756955,0.019355485403937535,14.956660059742022,0.2568423475899525,6.179354378818736,0.08612118126272912,3.801417333333332,0.02938066666666666,0.00158,0.09963,196.4,0.00131,0.11986,300.0,0.00131,0.09719,196.4,1.01174,10.0479
9320,9322,9323,1,嘉惠 G.T2                               ,1,9320,9322,9323,161.0,18.0,18.0,392.8,196.4,196.4,0.0,0.0,0.0,-3.309572301425667e-05,0.0026705702647657897,0.000969959266802444,0.046682790224032586,0.0010005091649694503,0.046810081466395106,1.0490000000000022,0.01300000000000002,9.1685,0.1905,9.193499999999998,0.19650000000000006,0.00184,0.09693,196.4,0.00387,0.18362,196.4,0.0019,0.09718,196.4,1.00532,2.5491
9330,9331,9332,1,嘉惠 2G.T                               ,1,9330,9331,9332,161.0,26.0,18.0,650.0,433.0,217.0,0.0,0.0,0.0,1.8992424242424133e-06,-0.0024228181818181822,8.537348484848486e-05,0.011509606060606059,0.00019540075757575758,0.019116303030303032,1.5748318181818184,0.0012345075757575687,4.983659424242424,0.03696671893939394,4.148237757575758,0.042401964393939395,0.000576,0.0599728,660.0,0.00185311,0.202131,660.0,0.00130218,0.110177,660.0,0.95603,-3.3469
32192,32190,32196,1,沃一離風M.T1                            ,1,32192,32190,32196,230.0,161.0,22.8,360.0,360.0,2.0,0.0,0.0,0.0,0.00045138888888889006,0.0116,-0.0003597222222222231,-0.0022555555555555523,0.009465277777777777,0.025363888888888887,4.176,0.16250000000000042,1.0,0.1295000000000003,1.0,0.018930555555555555,0.00033,0.03364,360.0,0.03278,0.08319,360.0,0.0357,0.13307,360.0,1.00547,-0.6261
32194,32191,32197,1,沃一離風M.T2                            ,1,32194,32191,32197,230.0,161.0,22.8,360.0,360.0,2.0,0.0,0.0,0.0,0.0004430555555555559,0.011148611111111113,-0.00035138888888888893,-0.0017958333333333333,0.009456944444444443,0.025756944444444447,4.0135000000000005,0.15950000000000014,1.0,0.1265,1.0,0.018913888888888886,0.00033,0.03367,360.0,0.03278,0.08626,360.0,0.03564,0.13286,360.0,1.00549,-0.608
32221,32220,32222,1,沃二離風M.T                             ,1,32221,32220,32222,230.0,161.0,22.8,360.0,360.0,2.0,0.0,0.0,0.0,0.0004499999999999999,0.011594444444444444,-0.0003583333333333329,-0.002288888888888889,0.009402777777777779,0.025322222222222225,4.1739999999999995,0.16199999999999995,1.0,0.12899999999999984,1.0,0.018805555555555558,0.00033,0.0335,360.0,0.03256,0.08292,360.0,0.03547,0.1329,360.0,1.00563,-0.6253
32370,32371,32378,1,海龍二B風MT1                            ,1,32371,32370,32378,230.0,161.0,22.1,255.0,204.0,153.0,0.0,0.0,0.0,0.0005176470588235295,0.047643137254901956,0.00026666666666666657,-0.0033960784313725526,0.0008313725490196077,0.03899999999999999,12.149,0.132,1.0,0.05439999999999998,5.966999999999999,0.12719999999999998,0.002,0.11283,255.0,0.0028,0.09079,255.0,0.00344,0.22094,255.0,1.23843,0.001
32460,32461,32472,1,沃南風ET1                               ,1,32460,32461,32472,345.0,230.0,22.8,1.0,1.0,1.0,0.0,0.0,0.0,-0.00019736842105263152,0.009218421052631577,0.00027631578947368414,2.6315789473704138e-06,0.0007052631578947368,0.021915789473684208,1.0,0.00019736842105263152,1.0,0.00027631578947368414,1.0,0.0007052631578947368,0.0003,0.03504,380.0,0.00373,0.08329,380.0,0.00193,0.11831,380.0,1.0258,-0.4607
32490,32492,32501,1,沃四風ET1                               ,1,32490,32492,32501,345.0,230.0,22.8,228.0,228.0,2.0,0.0,0.0,0.0,3.9473684210526337e-05,0.016767543859649126,9.649122807017541e-05,-0.0014956140350877202,0.0008464912280701754,0.03714473684210526,3.8230000000000004,0.009000000000000005,1.0,0.021999999999999995,1.0,0.0016929824561403507,0.00031,0.03482,228.0,0.00215,0.08128,228.0,0.00202,0.12292,228.0,1.08101,-0.5511
32491,32493,32502,1,沃四風ET2                               ,1,32491,32493,32502,345.0,230.0,22.8,228.0,228.0,2.0,0.0,0.0,0.0,3.9473684210526337e-05,0.016438596491228072,9.649122807017541e-05,-0.001052631578947371,0.0008464912280701754,0.03693421052631579,3.748,0.009000000000000005,1.0,0.021999999999999995,1.0,0.0016929824561403507,0.00031,0.03508,228.0,0.00215,0.08181,228.0,0.00202,0.12169,228.0,1.08022,-0.559
53720,53721,53723,1,廷和光M.T1                              ,1,53720,53721,53723,161.0,22.8,22.8,200.0,100.0,100.0,0.0,0.0,0.0,0.00031499999999999996,0.014297500000000001,0.0004149999999999999,0.0154475,0.001095,0.0446425,2.8595,0.06299999999999999,1.5447499999999998,0.04149999999999999,4.46425,0.1095,0.00146,0.05949,200.0,0.00151,0.06009,100.0,0.00141,0.05894,100.0,1.0032,2.4808
53840,53841,53842,1,平誠光M.T1                              ,1,53840,53841,53842,161.0,22.8,22.8,120.0,60.0,60.0,0.0,0.0,0.0,0.00019333333333333312,0.009747499999999992,0.00364,0.19571583333333334,0.0036795,0.19621583333333337,1.169699999999999,0.023199999999999974,11.74295,0.2184,11.772950000000002,0.22077,0.0023,0.123278,60.0,0.0043917,0.235159,60.0,0.0023237,0.123578,60.0,1.0082,1.9765
53840,53843,53844,2,平誠光M.T2                              ,1,53840,53843,53844,161.0,22.8,22.8,1.0,1.0,1.0,0.0,0.0,0.0,0.0002833333333333342,0.016116666666666668,0.006233333333333334,0.3268833333333334,0.006199999999999999,0.3268833333333334,1.0,0.0002833333333333342,1.0,0.006233333333333334,1.0,0.006199999999999999,0.00391,0.2058,60.0,0.00746,0.39226,60.0,0.00389,0.2058,60.0,1.00839,1.9527
91852,302,303,1,B大潭甲 T1-2                            ,1,91852,302,303,161.0,16.5,16.5,390.0,195.0,195.0,0.0,0.0,0.0,-0.00017179487179487171,7.692307692309247e-06,0.0004205128205128205,0.024146153846153845,0.0004205128205128205,0.024130769230769226,1.0,0.06699999999999996,4.7085,0.082,4.705499999999999,0.082,0.00097,0.0942,390.0,0.00328,0.18828,390.0,0.00097,0.09414,390.0,1.0273,-25.5615
91862,306,307,1,B大潭乙 T1-2                            ,1,91862,306,307,161.0,16.5,16.5,390.0,195.0,195.0,0.0,0.0,0.0,-0.00017179487179487171,7.692307692309247e-06,0.0004205128205128205,0.024146153846153845,0.0004205128205128205,0.024130769230769226,1.0,0.06699999999999996,4.7085,0.082,4.705499999999999,0.082,0.00097,0.0942,390.0,0.00328,0.18828,390.0,0.00097,0.09414,390.0,1.02734,-25.5782
