bus_i,id,status,pl_mw,ql_mvar
4702,1,1,56.832,12.874
4704,1,1,99.003,3.686
4706,1,1,109.228,1.293
4710,1,1,109.338,-0.411
4712,1,1,89.907,12.249
4714,1,1,38.353,5.465
4716,1,1,90.523,14.941
4752,1,1,92.218,32.15
4754,1,1,64.227,12.255
4756,1,1,91.933,18.308
4758,1,1,61.212,8.176
4760,1,1,50.845,10.504
4764,1,1,63.986,9.43
4802,1,1,111.425,18.157
4806,1,1,75.199,12.364
4812,1,1,67.675,10.264
4814,1,1,83.2,10.926
4816,1,1,91.295,21.817
4818,1,1,121.473,10.658
4820,1,1,52.422,8.855
4822,1,1,129.485,21.858
4824,1,1,71.308,12.22
4840,1,1,57.121,14.027
4902,1,1,119.459,5.667
4904,1,1,42.491,7.104
4908,1,1,157.679,2.36
4910,1,1,79.903,10.262
4922,1,1,131.206,19.32
4990,1,1,83.332,2.608
4992,1,1,66.607,-2.088
4994,1,1,55.151,4.267
4996,1,1,150.211,-1.827
4998,1,1,87.563,17.553
5000,1,1,81.521,-7.545
5004,1,1,102.355,16.465
5006,1,1,87.393,15.18
5014,1,1,56.411,5.586
5018,1,1,74.861,23.292
5022,1,1,50.42,12.318
5024,1,1,66.557,5.208
5026,1,1,59.213,1.468
5028,1,1,43.443,8.851
5056,1,1,33.98,-0.07
5080,1,1,45.867,13.591
5092,1,1,86.004,18.325
5098,1,1,27.988,2.315
5108,1,1,20.581,0.053
5502,1,1,65.268,13.11
5504,1,1,129.747,-10.113
5506,1,1,100.023,23.883
5522,1,1,122.822,28.485
5524,1,1,89.849,19.577
5526,1,1,9.784,0.502
5530,1,1,22.967,7.326
5538,1,1,63.804,-4.676
5542,1,1,40.701,12.535
5546,1,1,53.664,4.575
5602,1,1,36.904,8.706
5604,1,1,107.988,2.187
5606,1,1,66.109,18.736
5610,1,1,37.296,6.046
5612,1,1,70.24,14.938
5616,1,1,87.398,1.203
5618,1,1,8.174,-0.943
5626,1,1,100.514,-6.214
5628,1,1,77.929,11.23
5638,1,1,70.888,13.4
5644,1,1,66.088,-0.733
5648,1,1,20.907,2.071
5652,1,1,106.065,3.477
5654,1,1,78.805,-3.618
5656,1,1,91.699,15.204
5658,1,1,56.362,0.515
5660,1,1,51.629,2.721
5664,1,1,110.601,3.952
5666,1,1,84.573,-1.731
5668,1,1,115.948,3.849
5670,1,1,63.435,15.039
5672,1,1,78.625,-2.957
5682,1,1,54.089,18.779
5684,1,1,55.559,11.597
5686,1,1,83.785,10.014
5694,1,1,48.88,5.608
5778,1,1,67.072,12.051
5788,1,1,112.788,-1.016
5790,1,1,66.963,8.297
5802,1,1,75.332,14.037
5810,1,1,79.166,16.33
5812,1,1,88.683,19.383
5818,1,1,34.116,21.159
5820,1,1,57.154,13.675
5842,1,1,27.369,19.453
5852,1,1,86.435,11.752
5854,1,1,63.753,15.572
5856,1,1,69.67,18.726
5864,1,1,25.394,5.253
5902,1,1,90.556,12.772
5904,1,1,46.681,10.587
5906,1,1,59.953,6.705
5910,1,1,67.943,17.486
5914,1,1,37.874,3.981
5916,1,1,97.916,14.723
5942,1,1,4.835,4.725
5944,1,1,5.01,11.534
5948,1,1,0.0,0.0
5956,1,1,29.797,4.64
5958,1,1,0.0,0.619
5976,1,1,69.273,3.534
5978,1,1,16.961,4.574
5980,1,1,55.361,0.243
5984,1,1,50.022,12.455
5986,1,1,25.264,-1.371
5988,1,1,0.0,0.0
5996,1,1,57.142,2.409
5998,1,1,41.46,8.069
6004,1,1,53.881,-2.216
6010,1,1,32.207,7.09
6012,1,1,87.867,13.025
6018,1,1,80.561,8.926
6024,1,1,67.582,-0.29
6034,1,1,38.399,-0.377
6040,1,1,53.067,4.09
6042,1,1,0.0,0.0
6044,1,1,49.456,5.496
6056,1,1,124.987,0.621
6060,1,1,109.041,4.472
6064,1,1,58.23,8.163
6068,1,1,45.079,-6.18
6072,1,1,99.596,14.426
6074,1,1,73.465,6.428
6076,1,1,101.543,11.304
6080,1,1,72.828,52.565
6084,1,1,84.688,12.277
6086,1,1,93.507,13.318
6094,1,1,0.0,0.0
6096,1,1,36.713,11.901
6098,1,1,20.684,11.775
6106,1,1,112.079,13.306
6108,1,1,142.566,1.53
6110,1,1,56.972,1.243
6112,1,1,20.672,10.916
6116,1,1,38.065,17.281
6120,1,1,52.285,18.546
6126,1,1,65.628,8.111
6128,1,1,137.215,44.841
6130,1,1,28.902,5.579
6140,1,1,72.737,21.959
6162,1,1,86.66,16.611
6164,1,1,22.1,0.763
6166,1,1,136.284,44.703
6170,1,1,83.712,6.019
6204,1,1,94.922,-1.151
6208,1,1,73.029,-8.181
6218,1,1,85.478,18.962
6220,1,1,62.47,1.539
6224,1,1,39.089,5.736
6228,1,1,76.758,15.678
6234,1,1,41.526,-2.561
6236,1,1,2.614,0.0
6302,1,1,77.422,-1.459
6306,1,1,112.624,7.931
6310,1,1,36.943,-5.441
6312,1,1,74.518,6.273
6318,1,1,80.843,17.021
6320,1,1,139.795,-1.559
6322,1,1,74.346,19.738
6330,1,1,46.272,10.006
6354,1,1,68.235,2.486
6362,1,1,73.028,-1.678
6368,1,1,47.092,5.84
6370,1,1,25.917,1.038
6372,1,1,28.07,-3.114
6408,1,1,58.654,8.015
6410,1,1,36.955,-1.402
6452,1,1,86.533,0.109
6456,1,1,66.241,4.38
6458,1,1,58.714,5.941
6512,1,1,43.149,12.347
6514,1,1,17.733,6.323
6516,1,1,0.0,0.0
6522,1,1,73.904,41.597
7002,1,1,9.898,0.644
7004,1,1,3.982,-0.021
7006,1,1,2.562,0.433
7012,1,1,49.597,0.089
7014,1,1,5.559,0.939
7020,1,1,12.651,3.815
7022,1,1,19.351,1.233
7024,1,1,6.333,0.956
7030,1,1,43.73,2.522
7032,1,1,15.117,2.588
8002,1,1,1.518,-0.235
8008,1,1,0.0,1.692
8009,1,1,0.796,-0.546
8011,1,1,0.796,-0.546
8012,1,1,3.243,3.546
8020,1,1,5.563,9.292
8025,1,1,5.162,9.652
8026,1,1,2.116,2.922
8027,1,1,6.514,1.278
8028,1,1,3.959,-1.071
8060,1,1,8.995,-2.714
8081,1,1,5.956,1.563
8100,1,1,9.795,-8.03
8101,1,1,-0.228,2.972
8140,1,1,2.517,1.475
8141,1,1,5.746,65.475
8142,1,1,3.799,7.869
8143,1,1,5.917,3.913
8160,1,1,5.261,43.152
8180,1,1,0.0,0.565
8181,1,1,6.97,-0.779
8182,1,1,9.638,2.043
8183,1,0,3.205,-9.768
8184,1,1,0.0,1.768
8185,1,1,9.638,2.043
8186,1,1,0.0,-1.421
8190,1,1,1.446,2.184
8191,1,1,24.5,4.975
8192,1,1,77.0,15.636
8193,1,1,28.0,5.686
