from_bus,to_bus,ckt,r_pu,x_pu,b_pu,rate_a_mva,rate_b_mva,rate_c_mva,status
540,2480,1,0.0011,0.0131,0.3053,3621.0,0.0,0.0,1
550,2300,1,0.0002,0.0029,0.0673,3621.2,3621.2,3874.68,1
550,2350,2,0.0001,0.0016,0.0385,3621.2,3621.2,3874.68,1
600,601,@1,-0.0,0.0001,0.0,557.72,557.72,557.72,1
600,610,@1,-0.0,0.0001,0.0,836.58,836.58,836.58,1
600,3411,2,0.003997,0.026836,0.03511,439.48,483.43,540.56,1
600,8310,1,0.0004,0.0031,0.0625,283.6,362.24,653.37,1
601,628,@1,-0.0,0.0001,0.0,836.58,836.58,836.58,0
601,3411,1,0.003994,0.02683,0.0343,439.48,483.43,540.56,1
610,611,@1,-0.0,0.0001,0.0,836.58,836.58,836.58,0
610,7653,1,0.0035,0.015,0.0257,591.18,0.0,0.0,1
611,620,@1,-0.0,0.0001,0.0,836.58,836.58,836.58,1
611,7652,1,0.0035,0.015,0.0257,591.18,0.0,0.0,1
620,628,@1,-0.0,0.0001,0.0,836.58,836.58,836.58,1
620,3461,W,0.005091,0.03496,0.08434,439.48,483.43,540.56,1
628,5027,1,0.0017,0.013445,0.21399,439.48,483.43,540.56,1
650,660,@1,-0.0,0.0001,0.0,3585.34,3585.34,3585.34,1
650,660,@2,-0.0,0.0001,0.0,3585.34,3585.34,3585.34,1
650,2060,R,0.0004,0.0066,0.1729,3267.44,3267.44,3594.19,1
650,2060,W,0.0005,0.0066,0.1726,3267.44,3267.44,3594.19,1
652,10652,1,-0.0,0.0001,0.0,0.0,0.0,0.0,1
652,20652,1,-0.0,0.0001,0.0,0.0,0.0,0.0,1
691,697,1,-0.0,0.0001,0.0,0.0,0.0,0.0,1
692,697,2,-0.0,0.0001,0.0,0.0,0.0,0.0,1
693,697,3,-0.0,0.0001,0.0,0.0,0.0,0.0,1
694,698,1,-0.0,0.0001,0.0,0.0,0.0,0.0,1
695,698,2,-0.0,0.0001,0.0,0.0,0.0,0.0,1
696,698,3,-0.0,0.0001,0.0,0.0,0.0,0.0,1
700,2480,1,0.00034,0.003579,0.05982,1196.31,1315.94,1471.46,1
700,2480,2,0.00034,0.003579,0.05982,1196.31,1315.94,1471.46,1
700,2480,3,0.000214,0.003236,0.08755,1792.67,1792.67,2684.2,1
700,3000,1,0.001325,0.019658,0.43126,1792.67,1792.67,2684.2,1
710,720,@1,-0.0,0.0001,0.0,1115.4,0.0,0.0,1
710,720,@2,-0.0,0.0001,0.0,1115.4,0.0,0.0,1
710,2490,3,0.000216,0.003376,0.07937,2182.28,2400.51,2684.2,1
710,3000,1,0.00137,0.020074,0.44192,2182.28,2400.51,2684.2,1
720,2490,1,0.00021,0.003253,0.07988,2182.28,2400.51,2684.2,1
720,2490,2,0.00021,0.003253,0.07988,2182.28,2400.51,2684.2,1
800,820,N,0.0046,0.0248,0.0126,254.6,280.06,313.16,1
800,820,S,0.0046,0.0248,0.0126,254.6,280.06,313.16,1
800,840,N,0.0059,0.0401,0.039,439.48,483.43,540.56,1
800,840,S,0.0059,0.0401,0.039,439.48,483.43,540.56,1
800,5525,1,0.002192,0.01649,0.01882,439.48,483.43,540.56,1
800,5609,N,0.0008,0.0049,0.0939,421.64,483.43,540.57,0
800,5609,S,0.0008,0.0048,0.0925,421.64,483.43,540.57,0
800,7668,1,0.0023,0.0158,0.0154,439.48,483.43,540.56,1
805,20805,1,-0.0,0.0001,0.0,0.0,0.0,0.0,1
822,20822,1,-0.0,0.0001,0.0,0.0,0.0,0.0,1
830,7661,2,0.0111,0.0694,0.0658,368.1,404.9,452.76,1
830,7664,1,0.0111,0.0694,0.0658,368.1,0.0,0.0,1
834,20834,1,-0.0,0.0001,0.0,0.0,0.0,0.0,1
844,20844,1,-0.0,0.0001,0.0,0.0,0.0,0.0,1
850,860,M,0.002451,0.00919,0.0039,170.1,185.16,209.23,1
850,860,O,0.002451,0.00919,0.0039,170.1,185.16,209.23,1
850,870,1,0.0161,0.0673,0.031,185.16,203.68,227.75,1
850,2201,O,0.00724,0.048951,0.0558,439.48,483.43,540.56,1
850,3481,1,0.010927,0.043237,0.02237,185.16,203.68,227.75,1
850,5647,1,0.0078,0.056,0.115,439.48,483.43,540.56,1
850,6009,M,0.00622,0.044256,0.07658,412.16,483.43,540.56,1
850,6009,O,0.006229,0.044239,0.07662,412.16,483.43,540.56,1
853,20853,1,-0.0,0.0001,0.0,0.0,0.0,0.0,1
870,875,1,0.002244,0.009865,0.00582,185.16,203.68,227.75,1
872,20872,1,-0.0,0.0001,0.0,0.0,0.0,0.0,1
875,3481,1,0.007197,0.030609,0.0198,185.16,203.68,227.75,1
880,7654,1,0.0019,0.0108,0.0101,368.1,0.0,0.0,1
880,7655,1,0.0019,0.0108,0.0101,368.1,0.0,0.0,1
883,20883,1,-0.0,0.0001,0.0,0.0,0.0,0.0,1
890,5525,1,0.001439,0.011776,0.01413,439.48,483.43,540.56,1
890,7669,1,0.0008,0.0054,0.0053,439.48,483.43,540.56,1
1000,2930,1,0.001796,0.027809,0.68292,2182.28,2400.51,2684.2,1
1000,2950,1,0.0009,0.0151,0.22719,2182.28,2400.51,2684.2,1
1000,2950,2,0.000865,0.015114,0.22719,2182.28,2400.51,2684.2,1
1000,2950,3,0.00077,0.016094,0.30731,2182.28,2400.51,2684.2,1
1020,3921,1,0.000561,0.002885,0.0271,219.74,241.72,270.28,1
1020,3941,1,0.011981,0.058675,0.02812,219.7,241.7,270.3,1
1030,1043,1,-0.0,0.0001,0.0,0.0,0.0,0.0,1
1030,3692,R,0.000296,0.002705,0.00207,128.0,0.0,0.0,1
1030,3692,W,0.00031,0.002693,0.00207,128.0,0.0,0.0,1
1050,1090,1,-0.0,0.0004,0.0082,3453.88,3453.88,3695.65,0
1050,2660,1,0.0006,0.0073,0.1472,3453.88,3453.88,3695.65,1
1050,2680,R,0.0001,0.0013,0.1106,3453.88,3453.88,3695.65,1
1051,6111,1,0.0006,0.003,0.3375,557.7,557.7,1306.7,0
1051,6111,2,0.0006,0.003,0.3375,557.72,557.72,1306.74,0
1070,1080,@1,-0.0,0.0001,0.0,2390.0,2390.0,2390.0,1
1070,1080,@2,-0.0,0.0001,0.0,2390.0,0.0,0.0,1
1070,2650,1,0.0006,0.0077,0.1551,2390.23,2390.23,3107.3,1
1080,1090,1,-0.0,0.0001,0.0,2390.2,0.0,0.0,1
1080,2690,1,-0.0,0.00011,0.0,1196.3,1315.9,1471.5,1
1085,21085,1,-0.0,0.0001,0.0,0.0,0.0,0.0,1
1090,2670,W,0.0001,0.0016,0.0327,3453.88,3453.88,3695.65,1
1100,1110,@1,-0.0,0.0001,0.0,1115.44,1115.44,1115.44,1
1100,1110,@2,-0.0,0.0001,0.0,1115.44,1115.44,1115.44,1
1100,1120,@1,-0.0,0.0001,0.0,1115.44,1115.44,1115.44,0
1100,1120,@2,-0.0,0.0001,0.0,1115.44,1115.44,1115.44,0
1100,2901,1,0.002373,0.015893,0.01523,439.48,483.43,540.56,1
1100,2901,2,0.002373,0.015893,0.01523,439.48,483.43,540.56,1
1100,3901,4,0.0005,0.0025,0.2813,824.3,0.0,0.0,1
1110,3891,1,0.001334,0.008925,0.00855,439.48,483.43,540.57,1
1110,3891,2,0.001334,0.008925,0.00855,439.48,483.43,540.56,1
1110,7886,3,0.001318,0.008817,0.00845,439.48,483.43,540.56,1
1110,8717,1,0.0002,0.0014,0.0447,341.6,425.26,725.32,1
1110,8719,1,0.0002,0.0018,0.0564,341.6,425.26,568.6,1
1120,3881,1,0.000377,0.00315,0.81185,394.31,557.72,1025.09,1
1120,3881,2,0.000384,0.003154,0.80975,394.31,557.72,1025.09,1
1120,9906,R,0.00017,0.001037,0.04329,412.16,501.95,803.12,1
1120,9906,W,0.000172,0.000992,0.04295,412.16,501.95,803.12,1
1123,21123,1,-0.0,0.0001,0.0,0.0,0.0,0.0,1
1130,1140,@1,-0.0,0.0001,0.0,3585.3,3585.3,3585.3,1
1130,1140,@2,-0.0,0.0001,0.0,3585.3,3585.3,3585.3,1
1130,2920,1,0.0002,0.0015,1.2582,1287.74,1465.21,1887.68,1
1140,2920,2,0.0002,0.0015,1.2618,1287.74,1465.21,1887.68,1
1200,1210,@1,-0.0,0.0001,0.0,1115.44,1115.44,1115.44,0
1200,1210,@2,-0.0,0.0001,0.0,1115.44,1115.44,1115.44,0
1200,2851,1,0.0005,0.0056,0.364,278.86,389.85,574.45,1
1200,6361,1,0.0006,0.0047,0.1373,283.0,0.0,0.0,1
1200,6367,1,0.000415,0.00411,0.12193,342.44,425.26,725.32,1
1200,6371,1,0.0001,0.0006,0.0188,342.44,425.26,725.32,1
1210,6317,1,0.0001,0.0013,0.0702,226.99,337.42,535.69,1
1210,6319,1,2e-05,0.000103,0.00327,414.39,498.88,800.05,1
1210,6319,2,4.5e-05,8.5e-05,0.00348,414.39,498.88,800.05,1
1210,6319,3,4.7e-05,9.2e-05,0.00393,414.39,498.88,800.05,1
1400,1498,1,0.0127,0.0796,0.0,106.0,0.0,0.0,1
1400,3952,1,0.02497,0.1625,0.0,106.0,0.0,0.0,1
1497,1498,1,0.0006336,0.003968,0.0,106.0,0.0,0.0,1
1498,3952,1,0.0123,0.0663,0.0,106.0,0.0,0.0,1
1500,1650,1,0.000833,0.012892,0.31661,2141.65,2355.81,2634.22,1
1500,1650,2,0.000833,0.012892,0.31661,2141.65,2355.81,2634.22,1
1500,9120,R,0.000804,0.014365,0.29513,2182.28,2400.51,2684.2,1
1500,9120,W,0.000853,0.014312,0.2952,2182.28,2400.51,2684.2,1
1501,3101,M,0.001008,0.009031,0.00881,499.72,549.69,614.65,1
1501,3101,O,0.001008,0.009031,0.00881,499.72,549.69,614.65,1
1501,4015,1,0.003,0.027,0.0879,283.6,356.38,502.23,1
1501,4047,R,0.0005,0.0045,0.1676,499.72,549.69,614.65,1
1501,4047,W,0.0005,0.0045,0.1673,499.72,549.69,614.65,1
1550,1700,R,0.0005,0.007809,0.18361,2141.65,2355.81,2634.22,1
1550,1700,W,0.0005,0.007809,0.18361,2141.65,2355.81,2634.22,1
1551,3131,1,0.0003,0.0027,0.0534,414.39,552.14,686.68,1
1551,3131,2,0.0003,0.0027,0.0546,414.39,552.14,686.68,1
1551,3131,3,0.0003,0.0021,0.081,542.66,557.72,686.68,1
1551,3131,4,0.0003,0.0023,0.0822,542.66,557.72,686.68,1
1551,3141,M,0.001763,0.014065,0.01386,370.33,407.36,455.5,1
1551,3141,O,0.001763,0.014065,0.01386,370.33,407.36,455.5,1
1551,4109,R,0.0008,0.0044,0.2083,473.5,557.72,739.98,1
1551,4109,W,0.0008,0.0044,0.2089,473.5,557.72,739.98,1
1551,7530,1,0.0023,0.013,0.0122,370.33,407.36,455.5,1
1551,7534,O,0.002148,0.012003,0.01126,370.33,407.36,455.5,1
1570,1610,R,-0.0,0.0001,0.0672,1287.74,0.0,0.0,1
1570,1610,W,-0.0,0.0001,0.0672,1287.74,0.0,0.0,1
1571,3121,1,0.0001,0.0007,0.0207,473.5,0.0,0.0,1
1571,3121,2,0.0001,0.0007,0.0207,473.5,0.0,0.0,1
1571,4143,1,0.0002,0.0008,0.0961,567.2,0.0,0.0,1
1571,4143,2,0.0002,0.0008,0.0961,567.2,0.0,0.0,1
1580,1750,1,0.00033,0.005075,0.35713,2141.65,2355.81,2634.22,1
1580,1750,2,0.00033,0.005075,0.35713,2141.65,2355.81,2634.22,1
1581,1591,@1,-0.0,0.0001,0.0,557.72,557.72,557.72,0
1581,1591,@2,-0.0,0.0001,0.0,557.72,557.72,557.72,0
1581,4161,1,0.001,0.008,0.2341,268.82,346.07,633.29,1
1581,4161,2,0.0008,0.0087,0.2619,268.82,346.07,633.29,1
1581,8060,1,0.0002,0.0014,0.0335,277.47,332.12,423.03,1
1581,8060,2,0.0003,0.0015,0.0291,277.47,332.12,423.03,0
1583,21583,1,-0.0,0.0001,0.0,0.0,0.0,0.0,1
1591,4207,1,0.0008,0.005765,0.119,270.22,406.02,529.0,1
1591,4213,1,0.0008,0.0086,0.1948,270.22,406.02,529.0,1
1593,21593,1,-0.0,0.0001,0.0,0.0,0.0,0.0,1
1601,1611,2,1e-07,0.0001,0.0038,412.15,501.94,803.11,1
1601,1621,1,-0.0,0.0001,0.0038,412.2,501.9,803.1,1
1610,1650,1,0.0001,0.0012,0.0837,1287.74,0.0,0.0,1
1610,1650,2,0.0001,0.0012,0.0837,1287.74,0.0,0.0,1
1611,1621,@1,-0.0,0.0001,0.0,557.72,557.72,557.72,1
1611,1621,@2,-0.0,0.0001,0.0,557.72,557.72,557.72,1
1611,4307,2,0.0001,0.0011,0.0665,348.58,389.85,574.45,1
1611,4409,1,0.0003,0.0031,0.1623,230.9,280.0,364.2,1
1611,8101,1,0.0001,0.0003,0.0202,132.46,158.95,198.69,1
1611,8101,2,4.4e-05,0.000174,0.01494,132.46,158.95,198.69,0
1621,4307,1,0.0001,0.0013,0.0725,255.99,0.0,0.0,1
1621,4311,1,0.0006,0.006,0.2834,250.14,328.78,429.17,1
1621,4425,1,0.0004,0.0016,0.3067,511.99,0.0,0.0,1
1621,4425,R,0.0003,0.0015,0.1664,538.2,692.13,1266.58,1
1621,7500,1,0.000345,0.002203,0.1116,278.86,360.01,509.76,1
1621,7585,1,0.0003,0.0026,0.0765,286.66,360.0,509.75,1
1621,8102,1,0.0004,0.0031,0.09,342.44,0.0,0.0,0
1621,8102,2,0.0004,0.0031,0.09,342.0,0.0,0.0,0
1650,1700,R,0.000363,0.005663,0.13316,2141.65,2355.81,2634.22,1
1650,1700,W,0.000363,0.005663,0.13316,2141.65,2355.81,2634.22,1
1650,1910,R,0.0012,0.0184,0.5031,2175.11,2392.62,2675.38,1
1650,1910,W,0.0012,0.0186,0.4371,2141.65,2355.81,2634.22,1
1651,1661,@1,-0.0,0.0001,0.0,557.72,557.72,557.72,1
1651,1661,@2,-0.0,0.0001,0.0,557.72,557.72,557.72,1
1651,7569,O,0.000666,0.005148,0.00515,499.72,549.69,614.65,1
1651,7570,M,0.0006,0.0048,0.0048,499.72,549.69,614.65,1
1651,7574,2,0.0012,0.0092,0.0093,499.72,549.69,614.65,1
1661,3211,R,0.0015,0.011,0.1165,499.7,561.62,636.08,1
1661,4437,1,0.0014,0.0111,0.1065,499.72,549.7,614.7,1
1661,4437,2,0.0014,0.0111,0.1063,499.7,549.7,614.7,1
1661,8140,R,0.000703,0.005941,0.00589,499.72,549.69,614.65,1
1661,8140,W,0.000703,0.005941,0.00589,499.72,549.69,614.65,0
1663,21663,1,-0.0,0.0001,0.0,0.0,0.0,0.0,1
1700,1910,R,0.0008,0.0105,0.2673,2182.28,2400.51,2684.2,1
1700,1910,W,0.0008,0.0104,0.2844,2182.28,2400.51,2684.2,1
1701,1711,@1,-0.0,0.0001,0.0,1115.4,1115.4,1115.4,1
1701,1711,@2,-0.0,0.0001,0.0,1115.4,1115.4,1115.4,1
1701,3181,1,0.000107,0.000158173,0.0191,557.72,557.72,1581.69,1
1701,3181,2,7e-05,0.000158173,0.0189,557.72,557.72,1581.69,1
1701,4557,M,0.001,0.0058,0.0678,241.77,303.96,455.5,1
1701,4557,O,0.001,0.0058,0.0669,241.77,303.96,455.5,1
1701,7563,R,0.0013,0.0088,0.1727,271.05,316.51,414.94,1
1701,7564,W,0.0013,0.0086,0.1747,271.05,316.51,414.94,1
1711,3191,3,4.3e-05,0.000148914,0.0184,557.72,557.72,1581.69,1
1711,3191,4,8.8e-05,0.000185178,0.0183,557.72,557.72,1581.69,1
1711,4551,1,0.0015,0.0091,0.088,263.52,330.45,455.5,1
1711,4551,2,0.0016,0.0091,0.0877,263.52,330.45,455.5,1
1711,4559,1,0.0009,0.0065,0.05,370.33,407.36,455.5,1
1711,4903,O,0.0032,0.0171,0.0391,370.33,407.36,455.5,1
1750,1900,R,0.0006,0.0094,0.2727,2141.65,2355.81,2634.22,1
1750,1900,W,0.0006,0.0094,0.2701,2141.65,2355.81,2634.22,1
1750,9160,1,0.00017,0.001456,0.01502,1070.82,1177.91,1317.11,1
1750,9160,2,0.00017,0.00143,0.01504,1070.82,1177.91,1317.11,1
1751,1761,@1,-0.0,0.0001,0.0,557.72,557.72,557.72,0
1751,1761,@2,-0.0,0.0001,0.0,557.72,557.72,557.72,0
1751,4603,R,0.00074,0.000883,0.08015,436.14,557.72,954.26,1
1751,4603,W,8.3e-05,0.000689,0.17721,397.1,557.72,1027.32,1
1751,4611,M,0.0018,0.0081,0.446,537.64,557.72,862.32,1
1751,4611,O,0.0017,0.0082,0.4596,537.64,557.72,862.32,1
1751,4901,1,0.000961,0.00778,0.06114,436.14,549.69,614.65,1
1751,4901,2,0.000956,0.007787,0.06134,436.14,549.69,614.65,1
1751,7604,1,0.0006,0.0052,0.067,499.72,549.69,614.65,1
1751,7605,2,0.0006,0.0052,0.0659,499.72,549.69,614.65,1
1752,21752,1,-0.0,0.0001,0.0,0.0,0.0,0.0,1
1761,1781,@1,-0.0,0.0001,0.0,557.0,0.0,0.0,1
1761,1781,@2,-0.0,0.0001,0.0,557.0,0.0,0.0,1
1761,3281,M,0.0012,0.0101,0.0717,499.72,549.69,614.65,0
1761,3301,1,0.00137,0.010588,0.08372,499.72,549.69,614.65,1
1761,3301,3,0.001298,0.010579,0.0834,499.72,549.69,614.65,1
1761,4635,R,0.0003,0.0012,0.0322,537.64,597.04,638.83,1
1761,4635,W,0.0004,0.0012,0.0372,537.64,597.04,638.83,1
1761,7584,O,0.0007,0.0063,0.0667,499.72,549.69,614.65,1
1781,3301,4,0.001331,0.010582,0.08352,499.72,549.69,614.65,1
1781,4607,2,0.001593,0.012488,0.05501,499.72,549.69,614.65,1
1891,1901,1,-0.0,0.0001,0.0032,353.0,0.0,0.0,1
1891,1901,2,-0.0,0.0001,0.0034,353.0,0.0,0.0,1
1900,1910,1,-0.0,1e-06,0.1054,3508.26,3585.34,5928.36,0
1900,2000,1,0.0005,0.0077,0.188,2182.28,2400.51,2684.2,1
1900,2100,M,0.002619,0.027506,0.5177,1196.31,1315.94,1471.46,1
1900,2100,O,0.0026,0.0275,0.5201,1196.31,1315.94,1471.46,1
1901,1911,1,-0.0,0.0001,0.0,557.7,557.7,557.7,0
1901,3361,1,0.0045,0.0235,0.1034,537.64,557.72,687.11,1
1901,3361,2,0.0041,0.0217,0.1089,537.64,557.72,687.11,1
1901,4805,R,0.0012,0.0098,0.0916,499.72,549.69,614.65,1
1901,4805,W,0.0012,0.0098,0.0916,499.72,549.69,614.65,1
1901,4811,1,0.000357,0.002986,0.09148,499.72,549.69,614.65,1
1901,4819,1,0.0007,0.0053,0.2027,499.72,549.69,614.65,1
1901,4819,2,0.001,0.0053,0.2127,499.72,549.69,614.65,1
1901,7502,M,0.0006,0.0044,0.22866,499.72,549.69,614.65,1
1901,8260,1,8.5e-05,0.000761,0.00074,499.72,549.69,614.65,1
1910,1930,1,0.0006,0.0074,0.2703,2182.28,2400.51,2684.2,1
1910,1930,2,0.0004,0.0073,0.2718,2182.28,2400.51,2684.2,1
1910,2000,2,0.0006,0.0078,0.1827,3621.2,3621.2,3874.68,1
1910,2030,R,0.0002,0.0027,0.1336,3267.44,3267.44,3594.19,1
1910,2030,W,0.0002,0.0027,0.1336,3267.44,3267.44,3594.19,1
1911,3371,1,0.001966,0.017609,0.01717,499.72,549.69,614.65,1
1911,3371,2,0.001966,0.017609,0.01717,499.72,549.69,614.65,1
1911,7627,R,0.002551,0.014333,0.0133,370.33,407.36,455.5,1
1911,7628,W,0.002551,0.014333,0.0133,370.33,407.36,455.5,1
1911,7630,R,0.002163,0.014964,0.01728,439.48,483.43,540.56,1
1911,7639,W,0.002164,0.014964,0.01752,439.48,483.43,540.56,1
1911,9110,R,2.8e-05,0.00019,0.02967,1093.13,1311.76,1639.7,1
1911,9110,W,2.6e-05,0.000207,0.02853,1093.13,1311.76,1639.7,1
1930,2000,N,0.0003,0.003,0.1024,3280.59,3621.2,3874.68,1
1930,2000,S,0.0003,0.003,0.1024,3280.59,3621.2,3874.68,1
1931,1941,@1,-0.0,0.0001,0.0,557.72,557.72,557.72,1
1931,1941,@2,-0.0,0.0001,0.0,557.72,557.72,557.72,1
1931,2001,R,0.0032,0.0118,0.1075,499.72,549.69,614.65,0
1931,2001,W,0.0032,0.0119,0.1085,499.72,549.69,614.65,0
1931,5003,1,0.0001,0.0002,0.0294,557.72,557.72,1195.19,1
1931,5003,2,0.0001,0.0002,0.0295,557.72,557.72,1195.19,1
1931,5003,3,0.0001,0.0003,0.0319,557.72,557.72,1606.23,1
1931,5003,4,0.0001,0.0003,0.0319,557.72,557.72,1606.23,1
1931,7656,M,0.0004,0.0031,0.0794,283.6,362.24,502.23,1
1931,7657,O,0.0004,0.0031,0.0793,412.15,0.0,0.0,1
1931,8353,R,0.0001,0.0004,0.0493,567.2,712.77,862.32,1
1931,8355,W,0.0002,0.0005,0.0583,567.2,712.77,862.32,1
1941,5005,1,0.0003,0.0016,0.1781,557.72,557.72,1306.74,1
1941,5005,2,0.0003,0.0016,0.1781,557.72,557.72,1306.74,1
1941,5017,1,0.0001,0.0006,0.0918,557.72,557.72,1306.74,1
1941,5017,2,0.0001,0.0006,0.0918,557.72,557.72,1306.74,1
1941,8305,R,0.0002,0.0015,0.0425,283.6,362.24,653.37,1
1941,8312,1,0.0002,0.0015,0.0425,283.6,362.24,653.37,1
1941,8323,1,0.0001,0.0001,0.0117,557.72,557.72,1004.45,1
