bus_i,modsw,adjm,status,vswhi,vswlo,swrem,rmpct,binit_mvar
2203,0,0,1,1.02,0.985,2201,100.0,0.0
2206,0,0,1,1.02,0.985,2201,100.0,0.0
2207,0,0,1,1.02,0.985,2201,100.0,0.0
2208,0,0,1,1.02,0.985,2201,100.0,0.0
2303,0,0,1,1.02,0.985,2301,100.0,36.0
2306,0,0,1,1.02,0.985,2301,100.0,0.0
2307,0,0,1,1.02,0.985,2301,100.0,0.0
2316,0,0,1,1.02,0.985,2311,100.0,0.0
2317,0,0,1,1.02,0.985,2311,100.0,0.0
2321,0,0,1,1.025,0.9938,0,100.0,-80.0
2322,0,0,1,1.02,0.985,2321,100.0,0.0
2323,0,0,1,1.02,0.985,2321,100.0,0.0
2325,0,0,1,1.02,0.985,2321,100.0,-40.0
2326,0,0,1,1.02,0.985,2321,100.0,0.0
2327,0,0,1,1.02,0.985,2321,100.0,-40.0
2337,0,0,1,1.02,0.985,2321,100.0,0.0
2338,0,0,1,1.02,0.985,2321,100.0,0.0
2353,0,0,1,1.02,0.985,2351,100.0,36.0
2357,0,0,1,1.02,0.985,2351,100.0,0.0
2358,0,0,0,1.02,0.985,2351,100.0,0.0
2359,0,0,1,1.02,0.985,2351,100.0,0.0
2375,0,0,1,1.02,0.985,2371,100.0,0.0
2376,0,0,1,1.02,0.985,2371,100.0,0.0
2377,0,0,1,1.02,0.985,2371,100.0,0.0
2378,0,0,1,1.02,0.985,2371,100.0,0.0
2379,0,0,1,1.025,0.985,2371,100.0,0.0
2401,0,0,1,1.025,0.9938,0,100.0,0.0
2402,0,0,1,1.02,0.985,2401,100.0,26.6
2407,0,0,1,1.02,0.985,2401,100.0,0.0
2408,0,0,1,1.02,0.985,2401,100.0,0.0
2409,0,0,1,1.02,0.985,2401,100.0,0.0
2503,0,0,1,1.025,0.985,2501,100.0,0.0
2506,0,0,1,1.02,0.985,2501,100.0,-40.0
2507,0,0,1,1.02,0.985,2501,100.0,0.0
2509,0,0,1,1.02,0.985,2501,100.0,0.0
2518,0,0,1,1.02,0.985,2511,100.0,0.0
2519,0,0,1,1.02,0.985,2511,100.0,0.0
2603,0,0,1,1.02,0.985,2601,100.0,0.0
2608,0,0,0,1.02,0.985,2601,100.0,0.0
2613,0,0,1,1.02,0.985,2611,100.0,0.0
2618,0,0,1,1.02,0.985,2611,100.0,0.0
2619,0,0,1,1.02,0.985,2611,100.0,0.0
2621,0,0,1,1.025,0.985,0,100.0,0.0
2626,0,0,1,1.02,0.985,2621,100.0,0.0
2627,0,0,1,1.02,0.985,2621,100.0,0.0
2628,0,0,1,1.02,0.985,2621,100.0,0.0
2629,0,0,1,1.02,0.985,2621,100.0,0.0
2656,0,0,1,1.02,0.985,2651,100.0,0.0
2657,0,0,1,1.02,0.985,2651,100.0,0.0
2658,0,0,1,1.02,0.985,2651,100.0,0.0
2659,0,0,1,1.02,0.985,2651,100.0,0.0
2667,0,0,1,1.02,0.985,2661,100.0,-40.0
2668,0,0,1,1.02,0.985,2661,100.0,0.0
2671,0,0,1,1.025,0.9938,0,100.0,-80.0
2673,0,0,1,1.02,0.985,2671,100.0,0.0
2676,0,0,1,1.02,0.985,2671,100.0,-40.0
2681,0,0,1,1.025,0.9938,0,100.0,-80.0
2683,0,0,1,1.02,0.985,2681,100.0,0.0
2686,0,0,0,1.02,0.985,2681,100.0,0.0
2687,0,0,1,1.02,0.985,2681,100.0,0.0
2751,0,0,1,1.025,0.9938,0,100.0,-80.0
2753,0,0,1,1.02,0.985,2751,100.0,0.0
2756,0,0,1,1.02,0.985,2751,100.0,-40.0
2757,0,0,1,1.02,0.985,2751,100.0,-40.0
2761,0,0,1,1.0,1.0,0,100.0,0.0
2763,0,0,1,1.025,0.985,2761,100.0,0.0
2766,0,0,0,1.02,0.985,2751,100.0,-0.0
2767,0,0,0,1.02,0.985,2751,100.0,-0.0
2801,0,0,1,1.025,0.9938,0,100.0,-80.0
2802,0,0,1,1.02,0.985,2801,100.0,0.0
2803,0,0,1,1.02,0.985,2801,100.0,0.0
2807,0,0,1,1.02,0.985,2801,100.0,0.0
2811,0,0,1,1.025,0.9938,0,100.0,0.0
2812,0,0,1,1.02,0.985,2811,100.0,0.0
2813,0,0,1,1.02,0.985,2811,100.0,0.0
2816,0,0,1,1.02,0.985,2811,100.0,0.0
2850,0,0,1,1.0,1.0,0,100.0,-200.0
2851,0,0,1,1.025,0.9938,0,100.0,0.0
2857,0,0,1,1.02,0.985,2851,100.0,0.0
2861,0,0,1,1.025,0.9938,0,100.0,0.0
2862,0,0,1,1.02,0.985,2851,100.0,0.0
2863,0,0,1,1.02,0.985,2862,100.0,0.0
2864,0,0,1,1.02,0.985,2851,100.0,0.0
2878,0,0,1,1.02,0.985,2871,100.0,0.0
2879,0,0,1,1.02,0.985,2871,100.0,0.0
2902,0,0,1,1.02,0.985,2901,100.0,0.0
2905,0,0,1,1.02,0.985,2901,100.0,-20.0
2906,0,0,1,1.02,0.985,2901,100.0,0.0
2918,0,0,1,1.02,0.985,2911,100.0,0.0
2919,0,0,1,1.02,0.985,2911,100.0,-20.0
2920,0,0,1,1.0,1.0,0,100.0,-100.0
2921,0,0,1,1.025,0.9938,0,100.0,-80.0
2923,0,0,1,1.02,0.985,2921,100.0,0.0
2928,0,0,1,1.02,0.985,2921,100.0,0.0
2929,0,0,1,1.02,0.985,2921,100.0,0.0
2931,0,0,1,1.025,0.9938,0,100.0,-80.0
2932,0,0,1,1.02,0.985,2931,100.0,0.0
2933,0,0,1,1.02,0.985,2931,100.0,0.0
2936,0,0,1,1.02,0.985,2931,100.0,-40.0
2941,0,0,1,1.025,0.9938,0,100.0,0.0
2946,0,0,1,1.02,0.985,2931,100.0,-40.0
2952,0,0,1,1.02,0.985,2951,100.0,0.0
2953,0,0,1,1.02,0.985,2951,100.0,0.0
2954,0,0,1,1.02,0.985,2951,100.0,-40.0
2955,0,0,1,1.02,0.985,2951,100.0,-40.0
2956,0,0,1,1.02,0.985,2951,100.0,-40.0
2957,0,0,1,1.02,0.985,2951,100.0,-40.0
3001,0,0,1,1.025,0.9938,0,100.0,0.0
3003,0,0,1,1.02,0.985,3001,100.0,0.0
3007,0,0,1,1.02,0.985,3001,100.0,0.0
3008,0,0,1,1.02,0.985,3001,100.0,0.0
3101,0,0,1,1.025,0.9938,0,100.0,0.0
3102,0,0,1,1.02,0.985,3101,100.0,0.0
3132,0,0,1,1.02,0.985,3131,100.0,20.0
3133,0,0,1,1.02,0.985,3131,100.0,0.0
3142,0,0,1,1.02,0.985,3141,100.0,80.0
3143,0,0,1,1.02,0.985,3141,100.0,24.0
3162,0,0,1,1.02,0.985,3161,100.0,0.0
3182,0,0,1,1.02,0.985,3181,100.0,80.0
3183,0,0,1,1.02,0.985,3181,100.0,0.0
3193,0,0,1,1.02,0.985,3191,100.0,0.0
3211,0,0,1,1.0,1.0,0,100.0,0.0
3222,0,0,1,1.02,0.985,3221,100.0,80.0
3223,0,0,1,1.02,0.985,3221,100.0,0.0
3242,0,0,1,1.02,0.985,3241,100.0,117.5
3243,0,0,1,1.02,0.985,3241,100.0,12.0
3282,0,0,1,1.02,0.985,3281,100.0,53.2
3283,0,0,1,1.02,0.985,3281,100.0,0.0
3292,0,0,1,1.02,0.985,3291,100.0,40.0
3293,0,0,1,1.02,0.985,3291,100.0,30.0
3302,0,0,1,1.02,0.985,3301,100.0,46.6
3303,0,0,1,1.02,0.985,3301,100.0,24.0
3322,0,0,1,1.02,0.985,3321,100.0,40.0
3323,0,0,1,1.02,0.985,3321,100.0,24.0
3341,0,0,1,1.025,0.9938,0,100.0,0.0
3342,0,0,1,1.02,0.985,3341,100.0,0.0
