bus_i,modsw,adjm,status,vswhi,vswlo,swrem,rmpct,binit_mvar
5852,0,0,1,1.02,0.985,5851,100.0,0.0
5854,0,0,1,1.02,0.985,5853,100.0,0.0
5856,0,0,1,1.02,0.985,5855,100.0,0.0
5863,0,0,1,1.025,0.985,0,100.0,0.0
5864,0,0,1,1.02,0.985,5863,100.0,0.0
5902,0,0,1,1.02,0.985,5901,100.0,0.0
5904,0,0,1,1.02,0.985,5903,100.0,0.0
5906,0,0,1,1.02,0.985,5905,100.0,0.0
5910,0,0,1,1.02,0.985,5909,100.0,0.0
5913,0,0,1,1.025,0.9938,0,100.0,-40.0
5914,0,0,1,1.02,0.985,5913,100.0,0.0
5916,0,0,1,1.02,0.985,5915,100.0,0.0
5942,0,0,1,1.02,0.985,5941,100.0,0.0
5944,0,0,1,1.02,0.985,5943,100.0,0.0
5947,0,0,0,1.025,0.9983,0,100.0,-0.0
5956,0,0,1,1.02,0.985,5955,100.0,0.0
5957,0,0,1,1.025,0.985,0,100.0,-80.0
5958,0,0,1,1.025,0.985,5957,100.0,0.0
5975,0,0,1,1.025,0.9938,0,100.0,-160.0
5976,0,0,1,1.02,0.985,5975,100.0,0.0
5978,0,0,1,1.02,0.985,5977,100.0,0.0
5980,0,0,1,1.02,0.985,5979,100.0,0.0
5983,0,0,1,1.025,0.9938,0,100.0,-80.0
5984,0,0,1,1.02,0.985,5983,100.0,0.0
5987,0,0,1,1.025,0.985,0,100.0,-80.0
5996,0,0,1,1.02,0.985,5995,100.0,0.0
5998,0,0,1,1.02,0.985,5997,100.0,0.0
6004,0,0,1,1.02,0.985,6003,100.0,0.0
6010,0,0,1,1.02,0.985,6009,100.0,0.0
6012,0,0,1,1.02,0.985,6011,100.0,0.0
6017,0,0,1,1.025,0.9938,0,100.0,-80.0
6018,0,0,1,1.02,0.985,6017,100.0,0.0
6024,0,0,1,1.02,0.985,6023,100.0,0.0
6034,0,0,1,1.02,0.985,6033,100.0,0.0
6040,0,0,1,1.02,0.985,6039,100.0,0.0
6041,0,0,1,1.025,0.985,0,100.0,0.0
6042,0,0,0,1.025,0.985,6041,100.0,0.0
6043,0,0,1,1.025,0.9938,0,100.0,0.0
6044,0,0,1,1.02,0.985,6043,100.0,0.0
6056,0,0,1,1.02,0.985,6055,100.0,0.0
6060,0,0,1,1.02,0.985,6059,100.0,0.0
6064,0,0,1,1.02,0.985,6063,100.0,0.0
6068,0,0,1,1.02,0.985,6067,100.0,0.0
6072,0,0,1,1.02,0.985,6071,100.0,0.0
6074,0,0,1,1.02,0.985,6073,100.0,0.0
6075,0,0,1,1.025,0.9938,0,100.0,-160.0
6076,0,0,1,1.02,0.985,6075,100.0,0.0
6079,0,0,1,1.025,0.9938,0,100.0,0.0
6080,0,0,1,1.02,0.985,6079,100.0,0.0
6081,0,0,1,1.025,0.9938,0,100.0,0.0
6082,0,0,1,1.025,0.9938,0,100.0,0.0
6084,0,0,1,1.02,0.985,6083,100.0,0.0
6085,0,0,1,1.025,0.9938,0,100.0,0.0
6086,0,0,1,1.02,0.985,6085,100.0,0.0
6094,0,0,1,1.025,0.985,6093,100.0,0.0
6095,0,0,1,1.025,0.985,0,100.0,0.0
6096,0,0,1,1.02,0.985,6095,100.0,0.0
6098,0,0,1,1.02,0.985,6097,100.0,0.0
6106,0,0,1,1.02,0.985,6105,100.0,0.0
6108,0,0,1,1.02,0.985,6107,100.0,0.0
6110,0,0,1,1.02,0.985,6109,100.0,0.0
6112,0,0,1,1.02,0.985,6111,100.0,0.0
6116,0,0,1,1.02,0.985,6115,100.0,0.0
6120,0,0,1,1.02,0.985,6119,100.0,0.0
6126,0,0,1,1.02,0.985,6125,100.0,0.0
6128,0,0,1,1.02,0.985,6127,100.0,0.0
6129,0,0,1,1.025,0.9938,0,100.0,-80.0
6130,0,0,1,1.02,0.985,6129,100.0,0.0
6140,0,0,1,1.02,0.985,6139,100.0,0.0
6162,0,0,1,1.02,0.985,6161,100.0,0.0
6166,0,0,1,1.02,0.985,6165,100.0,0.0
6170,0,0,1,1.02,0.985,6169,100.0,0.0
6204,0,0,1,1.02,0.985,6203,100.0,0.0
6208,0,0,1,1.02,0.985,6207,100.0,0.0
6218,0,0,1,1.02,0.985,6217,100.0,0.0
6220,0,0,1,1.02,0.985,6219,100.0,0.0
6224,0,0,1,1.02,0.985,6223,100.0,0.0
6228,0,0,1,1.02,0.985,6227,100.0,0.0
6234,0,0,1,1.02,0.985,6233,100.0,0.0
6235,0,0,1,1.025,0.9938,0,100.0,0.0
6236,0,0,1,1.02,0.985,6235,100.0,0.0
6302,0,0,1,1.02,0.985,6301,100.0,0.0
6306,0,0,1,1.02,0.985,6305,100.0,0.0
6310,0,0,1,1.02,0.985,6309,100.0,0.0
6312,0,0,1,1.02,0.985,6311,100.0,0.0
6318,0,0,1,1.02,0.985,6317,100.0,0.0
6320,0,0,1,1.02,0.985,6319,100.0,0.0
6322,0,0,1,1.02,0.985,6321,100.0,0.0
6330,0,0,1,1.02,0.985,6329,100.0,0.0
6354,0,0,1,1.02,0.985,6353,100.0,0.0
6362,0,0,1,1.02,0.985,6361,100.0,0.0
6368,0,0,1,1.02,0.985,6367,100.0,0.0
6369,0,0,1,1.025,0.9938,0,100.0,-80.0
6370,0,0,1,1.02,0.985,6369,100.0,0.0
6372,0,0,1,1.02,0.985,6371,100.0,0.0
6408,0,0,1,1.02,0.985,6407,100.0,0.0
6410,0,0,1,1.02,0.985,6409,100.0,0.0
6452,0,0,1,1.02,0.985,6451,100.0,0.0
6456,0,0,1,1.02,0.985,6455,100.0,0.0
6458,0,0,1,1.02,0.985,6457,100.0,0.0
6512,0,0,1,1.02,0.985,6511,100.0,0.0
6514,0,0,1,1.02,0.985,6513,100.0,0.0
6522,0,0,1,1.02,0.985,6521,100.0,0.0
7002,0,0,1,1.02,0.985,7001,100.0,0.0
7004,0,0,1,1.02,0.985,7003,100.0,0.0
7006,0,0,1,1.02,0.985,7005,100.0,0.0
7012,0,0,1,1.02,0.985,7011,100.0,12.0
7013,0,0,1,1.025,0.9938,0,100.0,0.0
7014,0,0,1,1.02,0.985,7013,100.0,0.0
7020,0,0,1,1.02,0.985,7019,100.0,0.0
7022,0,0,1,1.02,0.985,7021,100.0,0.0
7024,0,0,1,1.02,0.985,7023,100.0,0.0
7030,0,0,1,1.02,0.985,7019,100.0,0.0
7032,0,0,1,1.02,0.985,7031,100.0,0.0
32192,0,0,1,1.0,1.0,32190,100.0,80.0
32194,0,0,1,1.0,1.0,32191,100.0,80.0
32221,0,0,1,1.0,1.0,32220,100.0,80.0
32251,0,0,1,1.0,1.0,32250,100.0,0.0
32282,0,0,1,1.0,1.0,32280,100.0,-25.0
32283,0,0,1,1.0,1.0,32281,100.0,-25.0
32311,0,0,1,1.0,1.0,32310,100.0,80.0
32342,0,0,1,1.0,1.0,32340,100.0,-20.0
32347,0,0,1,1.0,1.0,32341,100.0,-20.0
32371,0,0,1,1.0,1.0,32370,100.0,80.0
32402,0,0,1,1.0,1.0,0,100.0,80.0
32414,0,0,1,1.0,1.0,0,100.0,80.0
32461,0,0,1,1.0,1.0,32460,100.0,80.0
32492,0,0,1,1.0,1.0,32490,100.0,80.0
32493,0,0,1,1.0,1.0,32491,100.0,80.0
