from_bus,to_bus,k_bus,ckt,name,status,r12_pu,x12_pu,sbase12_mva,windv1,nomv1,ang1_deg,rata1_mva,ratb1_mva,ratc1_mva,windv2,nomv2
91863,308,0,1,大潭ST2                                 ,1,0.00083,0.04822,373.0,0.975,161.0,0.0,373.0,373.0,0.0,0.95,18.0
410,411,0,1,碧海G.T1                                ,1,0.00517,0.19993,60.0,1.0,161.0,0.0,60.0,0.0,0.0,0.9565,13.8
450,451,0,1,石門M.T1                                ,1,0.0073,0.20648,57.5,1.0,161.0,0.0,57.5,57.5,0.0,0.95652,13.8
450,452,0,1,石門M.T2                                ,1,0.00748,0.19812,57.5,1.0,161.0,0.0,57.5,57.5,0.0,0.95652,13.8
513,511,0,1,中火D.T1                                ,1,0.00867,0.283,60.0,1.0,23.9,0.0,60.0,60.0,0.0,1.0,161.0
530,531,0,1,中火北M.T1                              ,1,0.0007,0.0246,640.0,1.0,345.0,0.0,640.0,640.0,0.0,0.95,22.0
530,532,0,1,中火北M.T2                              ,1,0.0007,0.0246,640.0,1.0,345.0,0.0,640.0,640.0,0.0,0.95,22.0
530,533,0,1,中火北M.T3                              ,1,0.00049,0.0219,716.8,1.0,345.0,0.0,716.8,0.0,0.0,0.95,22.0
530,534,0,1,中火北M.T4                              ,1,0.0007,0.0246,640.0,1.0,345.0,0.0,640.0,640.0,0.0,0.95,22.0
530,546,0,1,中火北S.T1                              ,1,0.0029515,0.102142,60.0,1.0,345.0,0.0,60.0,0.0,0.0,1.0,6.9
530,547,0,1,中火北S.T2                              ,1,0.0029515,0.102142,60.0,1.0,345.0,0.0,60.0,0.0,0.0,1.0,6.9
530,548,0,1,中火北S.T5                              ,1,0.006637,0.184975,60.0,1.0,345.0,0.0,60.0,60.0,0.0,1.0,6.9
530,554,0,1,台中新GT.T21                            ,1,0.0005,0.042,540.0,1.0,345.0,0.0,540.0,0.0,0.0,0.975,26.0
530,555,0,2,台中新GT.T22                            ,1,0.0005,0.042,540.0,1.0,345.0,0.0,540.0,0.0,0.0,0.975,26.0
