bus_i,gen_id,pg_mw,qg_mvar,qt_mvar,qb_mvar,vs_pu,mbase_mva,status,pmax_mw,pmin_mw
627,S,76.04,-3.0,65.1,-3.0,0.96,145.0,1,108.8,54.4
652,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
691,1,0.0,5.702,28.39,-10.1,1.0,47.32,0,37.856,10.0
692,2,0.0,5.702,28.39,-10.1,1.0,47.32,0,37.856,10.0
693,3,0.0,5.702,28.39,-10.1,1.0,47.32,0,37.856,10.0
694,4,0.0,5.75,28.39,-10.1,1.0,47.32,0,37.856,10.0
695,5,0.0,5.75,28.39,-10.1,1.0,47.32,0,37.856,10.0
696,6,0.0,5.75,28.39,-10.1,1.0,47.32,0,37.856,10.0
701,1,150.0,-63.065,120.0,-68.5,0.97,280.0,1,240.0,-240.0
702,2,150.0,-63.065,120.0,-68.5,0.97,280.0,1,240.0,-240.0
703,3,0.0,-68.5,120.0,-68.5,0.97,280.0,0,240.0,-240.0
704,4,0.0,-68.5,120.0,-68.5,0.97,280.0,0,240.0,-240.0
711,1,150.0,-30.0,130.0,-30.0,0.98,300.0,1,240.8,-267.0
712,2,150.0,-30.0,130.0,-30.0,0.98,300.0,1,240.8,-267.0
713,3,0.0,-30.0,130.0,-30.0,0.98,300.0,0,240.8,-267.0
714,4,0.0,-10.797,130.0,-30.0,0.98,300.0,0,240.8,-267.0
715,5,0.0,-10.797,130.0,-30.0,0.98,300.0,0,240.8,-267.0
716,6,0.0,-20.184,130.0,-30.0,0.98,300.0,0,240.8,-267.0
801,1,12.5,-2.367,12.42,-5.0,0.95,28.5,1,25.0,0.0
802,2,12.5,-2.514,12.42,-5.0,0.95,28.5,1,25.0,0.0
803,3,12.5,-2.503,12.42,-5.0,0.95,28.5,1,25.0,0.0
804,4,12.5,-2.141,12.42,-5.0,0.95,28.5,1,25.0,0.0
805,5,50.0,-13.326,51.1,-22.0,0.95,117.22,1,100.0,0.0
825,1,25.0,-5.19,26.37,-14.0,0.95,60.5,1,33.75,0.0
826,2,25.0,-5.195,26.37,-14.0,0.95,60.5,1,33.75,0.0
827,3,25.0,-5.237,26.37,-14.0,0.95,60.5,1,33.75,0.0
828,4,25.0,-5.296,26.37,-14.0,0.95,60.5,1,33.75,0.0
