bus_i,gen_id,pg_mw,qg_mvar,qt_mvar,qb_mvar,vs_pu,mbase_mva,status,pmax_mw,pmin_mw
9905,1,6.12,0.0,0.0,0.0,1.0,100.0,1,100.0,0.0
9907,1,0.0,0.0,0.0,0.0,1.0,100.0,0,100.0,0.0
9916,1,0.0,0.0,0.0,0.0,1.0,100.0,0,100.0,0.0
9917,1,0.0,0.0,0.0,0.0,1.0,100.0,0,100.0,0.0
9918,1,0.0,0.0,0.0,0.0,1.0,100.0,0,100.0,0.0
9919,1,0.0,0.0,0.0,0.0,1.0,100.0,0,100.0,0.0
9920,1,0.0,0.0,0.0,0.0,1.0,100.0,0,100.0,0.0
9921,1,0.0,0.0,0.0,0.0,1.0,100.0,0,100.0,0.0
9926,1,0.0,0.0,0.0,0.0,1.0,100.0,0,100.0,0.0
9927,1,0.0,0.0,0.0,0.0,1.0,100.0,0,100.0,0.0
9928,1,0.0,0.0,0.0,0.0,1.0,100.0,0,100.0,0.0
9929,1,0.0,0.0,0.0,0.0,1.0,100.0,0,100.0,0.0
9930,1,0.0,0.0,0.0,0.0,1.0,100.0,0,100.0,0.0
9931,1,0.0,0.0,0.0,0.0,1.0,100.0,0,100.0,0.0
9935,1,0.0,0.0,0.0,0.0,1.0,100.0,0,100.0,0.0
10513,1,0.14,0.0,0.0,0.0,1.0,2.0,1,2.0,0.0
10652,1,0.55,0.0,0.0,0.0,1.0,7.8,1,7.8,0.0
13142,1,0.19,0.0,0.0,0.0,1.0,2.68,1,2.68,0.0
13352,1,2.12,0.0,0.0,0.0,1.0,30.0,1,30.0,0.0
13372,1,5.37,0.0,0.0,0.0,1.0,75.9,1,75.9,0.0
13422,1,2.77,0.0,0.0,0.0,1.0,39.1,1,39.1,0.0
13532,1,0.65,0.0,0.0,0.0,1.0,9.2,1,9.2,0.0
13694,1,0.17,0.0,0.0,0.0,1.0,2.4,1,2.4,0.0
13702,1,3.42,0.0,0.0,0.0,1.0,48.3,1,48.3,0.0
13923,1,0.32,0.0,0.0,0.0,1.0,4.5,1,4.5,0.0
15024,1,0.49,0.0,0.0,0.0,1.0,6.9,1,6.9,0.0
20233,1,1.09,0.0,0.0,0.0,1.0,1.69,1,1.69,0.0
20513,1,14.18,0.0,0.0,0.0,1.0,22.068,1,22.068,0.0
20652,1,44.41,0.0,0.0,0.0,1.0,79.116,1,79.116,0.0
20805,1,0.73,0.0,0.0,0.0,1.0,1.135,1,1.135,0.0
20822,1,0.01,0.0,0.0,0.0,1.0,0.017,1,0.017,0.0
20834,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
20844,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
20853,1,8.02,0.0,0.0,0.0,1.0,12.493,1,12.493,0.0
20872,1,0.49,0.0,0.0,0.0,1.0,0.755,1,0.755,0.0
20883,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
21085,1,9.98,0.0,0.0,0.0,1.0,15.532,1,15.532,0.0
21123,1,9.49,0.0,0.0,0.0,1.0,14.952,1,14.952,0.0
21583,1,0.0,0.0,0.0,0.0,1.0,2.292,0,2.292,0.0
21593,1,0.0,0.0,0.0,0.0,1.0,2.292,0,2.292,0.0
21663,1,0.0,0.0,0.0,0.0,1.0,3.286,0,3.286,0.0
21752,1,12.32,0.0,0.0,0.0,1.0,20.678,1,20.678,0.0
22003,1,10.32,0.0,0.0,0.0,1.0,16.094,1,16.094,0.0
22032,1,12.66,0.0,0.0,0.0,1.0,100.0,1,0.0,0.0
22042,1,12.66,0.0,0.0,0.0,1.0,100.0,1,0.0,0.0
22133,1,7.96,0.0,0.0,0.0,1.0,12.39,1,12.39,0.0
22143,1,7.96,0.0,0.0,0.0,1.0,12.39,1,12.39,0.0
22162,1,41.96,0.0,0.0,0.0,1.0,114.59,1,114.59,0.0
22173,1,2.2,0.0,0.0,0.0,1.0,2.961,1,2.961,0.0
22183,1,2.2,0.0,0.0,0.0,1.0,2.961,1,2.961,0.0
22202,1,27.68,0.0,0.0,0.0,1.0,57.216,1,57.216,0.0
22303,1,27.51,0.0,0.0,0.0,1.0,40.452,1,40.452,0.0
22322,1,123.96,0.0,0.0,0.0,1.0,367.935,1,367.935,0.0
22332,1,0.0,0.0,9999.0,-9999.0,1.0,100.0,0,9999.0,-9999.0
22353,1,19.27,0.0,0.0,0.0,1.0,27.898,1,27.898,0.0
22402,1,99.22,0.0,0.0,0.0,1.0,163.353,1,163.353,0.0
22603,1,15.25,0.0,0.0,0.0,1.0,23.53,1,23.53,0.0
22613,1,15.25,0.0,0.0,0.0,1.0,23.53,1,23.53,0.0
22672,1,63.02,0.0,0.0,0.0,1.0,93.489,1,93.489,0.0
22753,1,5.11,0.0,0.0,0.0,1.0,7.956,1,7.956,0.0
22763,1,5.11,0.0,0.0,0.0,1.0,7.956,1,7.956,0.0
22802,1,11.74,0.0,0.0,0.0,1.0,17.941,1,17.941,0.0
22812,1,11.74,0.0,0.0,0.0,1.0,17.941,1,17.941,0.0
22853,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
22862,1,21.24,0.0,0.0,0.0,1.0,33.122,1,33.122,0.0
22902,1,33.59,0.0,0.0,0.0,1.0,50.394,1,50.394,0.0
22923,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
22932,1,131.14,0.0,0.0,0.0,1.0,207.726,1,207.726,0.0
22952,1,127.18,0.0,0.0,0.0,1.0,202.384,1,202.384,0.0
23002,1,9.14,0.0,0.0,0.0,1.0,14.219,1,14.219,0.0
23102,1,46.07,0.0,0.0,0.0,1.0,69.47,1,69.47,0.0
23122,1,1.06,0.0,0.0,0.0,1.0,1.65,1,1.65,0.0
23132,1,6.49,0.0,0.0,0.0,1.0,10.11,1,10.11,0.0
23142,1,21.27,0.0,0.0,0.0,1.0,32.688,1,32.688,0.0
23162,1,12.3,0.0,0.0,0.0,1.0,18.883,1,18.883,0.0
23182,1,3.71,0.0,0.0,0.0,1.0,5.779,1,5.779,0.0
23222,1,13.54,0.0,0.0,0.0,1.0,20.4,1,20.4,0.0
23232,1,0.39,0.0,0.0,0.0,1.0,0.569,1,0.569,0.0
23242,1,7.29,0.0,0.0,0.0,1.0,11.352,1,11.352,0.0
23282,1,13.91,0.0,0.0,0.0,1.0,18.478,1,18.478,0.0
23292,1,13.57,0.0,0.0,0.0,1.0,14.007,1,14.007,0.0
23302,1,6.2,0.0,0.0,0.0,1.0,9.646,1,9.646,0.0
23322,1,36.54,0.0,0.0,0.0,1.0,61.919,1,61.919,0.0
23342,1,26.05,0.0,0.0,0.0,1.0,41.361,1,41.361,0.0
23352,1,26.05,0.0,0.0,0.0,1.0,41.361,1,41.361,0.0
23362,1,23.58,0.0,0.0,0.0,1.0,36.601,1,36.601,0.0
23364,1,23.58,0.0,0.0,0.0,1.0,36.601,1,36.601,0.0
23372,1,38.9,0.0,0.0,0.0,1.0,60.69,1,60.69,0.0
23374,1,38.9,0.0,0.0,0.0,1.0,60.69,1,60.69,0.0
23392,1,12.41,0.0,0.0,0.0,1.0,18.982,1,18.982,0.0
23394,1,12.41,0.0,0.0,0.0,1.0,18.982,1,18.982,0.0
23412,1,73.06,0.0,0.0,0.0,1.0,113.2,1,113.2,0.0
23422,1,40.56,0.0,0.0,0.0,1.0,61.993,1,61.993,0.0
23442,1,0.74,0.0,0.0,0.0,1.0,1.154,1,1.154,0.0
23452,1,50.27,0.0,0.0,0.0,1.0,48.051,1,48.051,0.0
23462,1,31.19,0.0,0.0,0.0,1.0,47.834,1,47.834,0.0
23472,1,10.37,0.0,0.0,0.0,1.0,16.088,1,16.088,0.0
23482,1,56.89,0.0,0.0,0.0,1.0,87.243,1,87.243,0.0
23522,1,22.14,0.0,0.0,0.0,1.0,25.994,1,25.994,0.0
23532,1,64.55,0.0,0.0,0.0,1.0,79.352,1,79.352,0.0
23552,1,98.27,0.0,0.0,0.0,1.0,145.519,1,145.519,0.0
23662,1,428.08,0.0,0.0,0.0,1.0,651.194,1,651.194,0.0
23672,1,201.9,0.0,0.0,0.0,1.0,314.746,1,314.746,0.0
23682,1,807.89,0.0,0.0,0.0,1.0,1251.946,1,1251.946,0.0
23694,1,41.29,0.0,0.0,0.0,1.0,63.219,1,63.219,0.0
23702,1,596.85,0.0,0.0,0.0,1.0,906.471,1,906.472,0.0
23722,1,95.95,0.0,0.0,0.0,1.0,149.068,1,149.068,0.0
23732,1,31.44,0.0,0.0,0.0,1.0,48.879,1,48.879,0.0
23762,1,54.31,0.0,0.0,0.0,1.0,82.928,1,82.928,0.0
23792,1,153.24,0.0,0.0,0.0,1.0,238.039,1,238.039,0.0
23812,1,19.17,0.0,0.0,0.0,1.0,28.749,1,28.749,0.0
23882,1,16.67,0.0,0.0,0.0,1.0,25.907,1,25.907,0.0
23892,1,51.35,0.0,0.0,0.0,1.0,79.664,1,79.664,0.0
23922,1,52.39,0.0,0.0,0.0,1.0,81.562,1,81.562,0.0
23932,1,167.99,0.0,0.0,0.0,1.0,254.995,1,254.995,0.0
23942,1,11.53,0.0,0.0,0.0,1.0,17.947,1,17.947,0.0
23952,1,60.86,0.0,0.0,0.0,1.0,95.377,1,95.377,0.0
23972,1,30.99,0.0,0.0,0.0,1.0,41.383,1,41.383,0.0
24002,1,2.12,0.0,0.0,0.0,1.0,2.91,1,2.91,0.0
24012,1,53.28,0.0,0.0,0.0,1.0,81.798,1,81.798,0.0
24016,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
24026,1,8.55,0.0,0.0,0.0,1.0,12.907,1,12.907,0.0
24028,1,4.6,0.0,0.0,0.0,1.0,7.163,1,7.163,0.0
24030,1,8.32,0.0,0.0,0.0,1.0,12.959,1,12.959,0.0
24048,1,15.75,0.0,0.0,0.0,1.0,24.19,1,24.19,0.0
24108,1,1.22,0.0,0.0,0.0,1.0,1.237,1,1.237,0.0
24110,1,3.05,0.0,0.0,0.0,1.0,4.754,1,4.754,0.0
24112,1,1.23,0.0,0.0,0.0,1.0,1.908,1,1.908,0.0
24114,1,1.23,0.0,0.0,0.0,1.0,1.918,1,1.918,0.0
24116,1,1.63,0.0,0.0,0.0,1.0,2.533,1,2.533,0.0
24118,1,0.15,0.0,0.0,0.0,1.0,0.216,1,0.216,0.0
24128,1,0.29,0.0,0.0,0.0,1.0,0.456,1,0.456,0.0
24140,1,1.51,0.0,0.0,0.0,1.0,2.358,1,2.358,0.0
24144,1,2.35,0.0,0.0,0.0,1.0,4.317,1,4.317,0.0
24148,1,0.94,0.0,0.0,0.0,1.0,1.47,1,1.47,0.0
24162,1,1.87,0.0,0.0,0.0,1.0,2.878,1,2.878,0.0
24204,1,0.92,0.0,0.0,0.0,1.0,1.439,1,1.439,0.0
24208,1,1.11,0.0,0.0,0.0,1.0,1.724,1,1.724,0.0
24214,1,1.66,0.0,0.0,0.0,1.0,2.577,1,2.577,0.0
24256,1,3.61,0.0,0.0,0.0,1.0,5.625,1,5.625,0.0
24258,1,0.97,0.0,0.0,0.0,1.0,1.515,1,1.515,0.0
24260,1,1.13,0.0,0.0,0.0,1.0,1.766,1,1.766,0.0
24264,1,0.9,0.0,0.0,0.0,1.0,1.398,1,1.398,0.0
24266,1,0.01,0.0,0.0,0.0,1.0,0.014,1,0.014,0.0
24270,1,0.4,0.0,0.0,0.0,1.0,0.62,1,0.62,0.0
24276,1,1.29,0.0,0.0,0.0,1.0,2.013,1,2.013,0.0
24302,1,0.8,0.0,0.0,0.0,1.0,1.248,1,1.248,0.0
24306,1,0.81,0.0,0.0,0.0,1.0,1.258,1,1.258,0.0
24308,1,0.22,0.0,0.0,0.0,1.0,0.611,1,0.611,0.0
24310,1,0.64,0.0,0.0,0.0,1.0,0.994,1,0.994,0.0
24314,1,1.58,0.0,0.0,0.0,1.0,2.451,1,2.451,0.0
24352,1,1.88,0.0,0.0,0.0,1.0,2.888,1,2.888,0.0
24354,1,1.4,0.0,0.0,0.0,1.0,2.191,1,2.191,0.0
24358,1,1.5,0.0,0.0,0.0,1.0,2.343,1,2.343,0.0
24360,1,0.94,0.0,0.0,0.0,1.0,1.463,1,1.463,0.0
24362,1,0.11,0.0,0.0,0.0,1.0,0.923,1,0.923,0.0
24402,1,0.65,0.0,0.0,0.0,1.0,1.145,1,1.145,0.0
24404,1,0.91,0.0,0.0,0.0,1.0,1.416,1,1.416,0.0
24410,1,0.21,0.0,0.0,0.0,1.0,0.334,1,0.334,0.0
24412,1,1.72,0.0,0.0,0.0,1.0,2.682,1,2.682,0.0
24426,1,0.65,0.0,0.0,0.0,1.0,0.753,1,0.753,0.0
24438,1,0.93,0.0,0.0,0.0,1.0,1.441,1,1.441,0.0
24506,1,1.29,0.0,0.0,0.0,1.0,2.003,1,2.003,0.0
24508,1,1.57,0.0,0.0,0.0,1.0,2.451,1,2.451,0.0
24514,1,1.9,0.0,0.0,0.0,1.0,2.952,1,2.952,0.0
24528,1,1.07,0.0,0.0,0.0,1.0,1.666,1,1.666,0.0
24552,1,3.86,0.0,0.0,0.0,1.0,5.927,1,5.927,0.0
24554,1,3.86,0.0,0.0,0.0,1.0,5.927,1,5.927,0.0
24558,1,2.91,0.0,0.0,0.0,1.0,4.535,1,4.535,0.0
24560,1,0.4,0.0,0.0,0.0,1.0,0.62,1,0.62,0.0
24564,1,1.97,0.0,0.0,0.0,1.0,3.064,1,3.064,0.0
24568,1,1.81,0.0,0.0,0.0,1.0,2.823,1,2.823,0.0
24574,1,0.96,0.0,0.0,0.0,1.0,1.502,1,1.502,0.0
24576,1,2.18,0.0,0.0,0.0,1.0,3.395,1,3.395,0.0
24584,1,2.39,0.0,0.0,0.0,1.0,3.46,1,3.46,0.0
24602,1,3.28,0.0,0.0,0.0,1.0,5.106,1,5.106,0.0
24604,1,6.7,0.0,0.0,0.0,1.0,10.194,1,10.194,0.0
24608,1,3.36,0.0,0.0,0.0,1.0,5.51,1,5.51,0.0
24612,1,13.25,0.0,0.0,0.0,1.0,19.081,1,19.081,0.0
24614,1,1.3,0.0,0.0,0.0,1.0,2.028,1,2.028,0.0
24618,1,1.19,0.0,0.0,0.0,1.0,1.852,1,1.852,0.0
24626,1,1.41,0.0,0.0,0.0,1.0,2.133,1,2.133,0.0
24628,1,1.15,0.0,0.0,0.0,1.0,1.796,1,1.796,0.0
24630,1,2.46,0.0,0.0,0.0,1.0,3.625,1,3.625,0.0
24636,1,13.24,0.0,0.0,0.0,1.0,20.606,1,20.606,0.0
24638,1,1.43,0.0,0.0,0.0,1.0,2.234,1,2.234,0.0
24640,1,14.25,0.0,0.0,0.0,1.0,22.143,1,22.143,0.0
24650,1,3.36,0.0,0.0,0.0,1.0,5.235,1,5.235,0.0
24652,1,3.09,0.0,0.0,0.0,1.0,4.739,1,4.739,0.0
24702,1,8.32,0.0,0.0,0.0,1.0,12.922,1,12.922,0.0
24704,1,8.6,0.0,0.0,0.0,1.0,13.384,1,13.384,0.0
24706,1,4.4,0.0,0.0,0.0,1.0,6.825,1,6.825,0.0
24710,1,16.51,0.0,0.0,0.0,1.0,25.698,1,25.698,0.0
24712,1,7.71,0.0,0.0,0.0,1.0,11.554,1,11.554,0.0
24714,1,1.62,0.0,0.0,0.0,1.0,2.518,1,2.518,0.0
24716,1,7.05,0.0,0.0,0.0,1.0,11.566,1,11.566,0.0
24752,1,29.45,0.0,0.0,0.0,1.0,45.285,1,45.285,0.0
24754,1,18.2,0.0,0.0,0.0,1.0,28.331,1,28.331,0.0
24756,1,22.52,0.0,0.0,0.0,1.0,30.014,1,30.014,0.0
24758,1,18.54,0.0,0.0,0.0,1.0,28.705,1,28.705,0.0
24760,1,24.97,0.0,0.0,0.0,1.0,35.4,1,35.4,0.0
24764,1,21.05,0.0,0.0,0.0,1.0,37.778,1,37.778,0.0
24802,1,18.0,0.0,0.0,0.0,1.0,27.371,1,27.371,0.0
24806,1,11.87,0.0,0.0,0.0,1.0,18.149,1,18.149,0.0
24812,1,7.06,0.0,0.0,0.0,1.0,10.968,1,10.968,0.0
24814,1,8.93,0.0,0.0,0.0,1.0,13.819,1,13.819,0.0
24816,1,9.59,0.0,0.0,0.0,1.0,14.936,1,14.936,0.0
24818,1,17.94,0.0,0.0,0.0,1.0,27.872,1,27.872,0.0
24820,1,13.94,0.0,0.0,0.0,1.0,21.374,1,21.374,0.0
24822,1,6.4,0.0,0.0,0.0,1.0,9.967,1,9.967,0.0
24824,1,0.89,0.0,0.0,0.0,1.0,1.633,1,1.633,0.0
24840,1,25.32,0.0,0.0,0.0,1.0,39.09,1,39.09,0.0
24902,1,5.74,0.0,0.0,0.0,1.0,8.816,1,8.816,0.0
24904,1,5.07,0.0,0.0,0.0,1.0,7.886,1,7.886,0.0
24908,1,5.75,0.0,0.0,0.0,1.0,8.342,1,8.342,0.0
24910,1,4.79,0.0,0.0,0.0,1.0,7.462,1,7.462,0.0
24922,1,3.82,0.0,0.0,0.0,1.0,5.464,1,5.464,0.0
24990,1,1.7,0.0,0.0,0.0,1.0,2.638,1,2.638,0.0
24992,1,0.96,0.0,0.0,0.0,1.0,1.491,1,1.491,0.0
24994,1,2.2,0.0,0.0,0.0,1.0,3.43,1,3.43,0.0
24996,1,4.42,0.0,0.0,0.0,1.0,6.869,1,6.869,0.0
24998,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
25000,1,1.75,0.0,0.0,0.0,1.0,2.721,1,2.721,0.0
25004,1,1.05,0.0,0.0,0.0,1.0,1.637,1,1.637,0.0
25006,1,2.99,0.0,0.0,0.0,1.0,4.657,1,4.657,0.0
25014,1,4.51,0.0,0.0,0.0,1.0,7.019,1,7.019,0.0
25018,1,1.8,0.0,0.0,0.0,1.0,2.809,1,2.809,0.0
25022,1,2.57,0.0,0.0,0.0,1.0,4.184,1,4.184,0.0
25024,1,4.66,0.0,0.0,0.0,1.0,7.249,1,7.249,0.0
25026,1,6.88,0.0,0.0,0.0,1.0,10.717,1,10.717,0.0
25028,1,16.5,0.0,0.0,0.0,1.0,13.736,1,13.736,0.0
25056,1,2.53,0.0,0.0,0.0,1.0,3.92,1,3.92,0.0
25080,1,5.56,0.0,0.0,0.0,1.0,8.66,1,8.66,0.0
25092,1,0.93,0.0,0.0,0.0,1.0,1.451,1,1.451,0.0
25098,1,2.0,0.0,0.0,0.0,1.0,3.116,1,3.116,0.0
25108,1,3.03,0.0,0.0,0.0,1.0,4.72,1,4.72,0.0
25502,1,6.59,0.0,0.0,0.0,1.0,10.253,1,10.253,0.0
25504,1,7.33,0.0,0.0,0.0,1.0,11.344,1,11.344,0.0
25506,1,7.27,0.0,0.0,0.0,1.0,11.136,1,11.136,0.0
25522,1,11.56,0.0,0.0,0.0,1.0,17.554,1,17.554,0.0
25524,1,7.84,0.0,0.0,0.0,1.0,11.962,1,11.962,0.0
25526,1,2.73,0.0,0.0,0.0,1.0,3.978,1,3.978,0.0
25530,1,11.46,0.0,0.0,0.0,1.0,16.762,1,16.762,0.0
25538,1,4.76,0.0,0.0,0.0,1.0,7.405,1,7.405,0.0
25542,1,10.0,0.0,0.0,0.0,1.0,14.259,1,14.259,0.0
25546,1,4.74,0.0,0.0,0.0,1.0,7.01,1,7.01,0.0
25602,1,6.89,0.0,0.0,0.0,1.0,9.772,1,9.772,0.0
25604,1,4.84,0.0,0.0,0.0,1.0,7.77,1,7.77,0.0
25606,1,2.65,0.0,0.0,0.0,1.0,4.831,1,4.831,0.0
25610,1,6.44,0.0,0.0,0.0,1.0,11.59,1,11.59,0.0
25612,1,13.75,0.0,0.0,0.0,1.0,21.004,1,21.004,0.0
25616,1,2.53,0.0,0.0,0.0,1.0,3.408,1,3.408,0.0
25618,1,0.32,0.0,0.0,0.0,1.0,0.504,1,0.504,0.0
25626,1,4.74,0.0,0.0,0.0,1.0,7.448,1,7.448,0.0
25628,1,6.21,0.0,0.0,0.0,1.0,9.662,1,9.662,0.0
25638,1,12.67,0.0,0.0,0.0,1.0,19.673,1,19.673,0.0
25644,1,2.74,0.0,0.0,0.0,1.0,4.264,1,4.264,0.0
25648,1,6.62,0.0,0.0,0.0,1.0,10.301,1,10.301,0.0
25652,1,4.6,0.0,0.0,0.0,1.0,7.96,1,7.96,0.0
25654,1,18.34,0.0,0.0,0.0,1.0,26.731,1,26.731,0.0
25656,1,9.51,0.0,0.0,0.0,1.0,13.134,1,13.134,0.0
25658,1,5.25,0.0,0.0,0.0,1.0,9.009,1,9.009,0.0
25660,1,2.77,0.0,0.0,0.0,1.0,4.277,1,4.277,0.0
25664,1,3.15,0.0,0.0,0.0,1.0,4.899,1,4.899,0.0
25666,1,2.21,0.0,0.0,0.0,1.0,5.678,1,5.678,0.0
25668,1,4.42,0.0,0.0,0.0,1.0,6.839,1,6.839,0.0
25670,1,7.67,0.0,0.0,0.0,1.0,11.953,1,11.953,0.0
25672,1,1.25,0.0,0.0,0.0,1.0,1.901,1,1.901,0.0
25682,1,13.81,0.0,0.0,0.0,1.0,24.603,1,24.603,0.0
25684,1,37.61,0.0,0.0,0.0,1.0,57.716,1,57.716,0.0
25686,1,14.64,0.0,0.0,0.0,1.0,25.155,1,25.155,0.0
25694,1,4.66,0.0,0.0,0.0,1.0,7.25,1,7.25,0.0
25778,1,9.83,0.0,0.0,0.0,1.0,15.297,1,15.297,0.0
25788,1,10.31,0.0,0.0,0.0,1.0,14.649,1,14.649,0.0
25790,1,18.34,0.0,0.0,0.0,1.0,28.597,1,28.597,0.0
25802,1,43.48,0.0,0.0,0.0,1.0,70.062,1,70.062,0.0
25810,1,64.59,0.0,0.0,0.0,1.0,75.608,1,75.608,0.0
25812,1,58.74,0.0,0.0,0.0,1.0,116.45,1,116.45,0.0
25818,1,58.27,0.0,0.0,0.0,1.0,90.378,1,90.378,0.0
25820,1,25.42,0.0,0.0,0.0,1.0,38.211,1,38.211,0.0
25842,1,58.28,0.0,0.0,0.0,1.0,90.723,1,90.723,0.0
25852,1,8.61,0.0,0.0,0.0,1.0,11.967,1,11.967,0.0
25854,1,15.19,0.0,0.0,0.0,1.0,23.651,1,23.651,0.0
25856,1,22.65,0.0,0.0,0.0,1.0,35.247,1,35.247,0.0
25864,1,6.23,0.0,0.0,0.0,1.0,9.479,1,9.479,0.0
25902,1,14.43,0.0,0.0,0.0,1.0,21.027,1,21.027,0.0
25904,1,4.8,0.0,0.0,0.0,1.0,7.494,1,7.494,0.0
25906,1,11.2,0.0,0.0,0.0,1.0,17.4,1,17.4,0.0
25910,1,17.7,0.0,0.0,0.0,1.0,27.551,1,27.551,0.0
25914,1,22.24,0.0,0.0,0.0,1.0,34.752,1,34.752,0.0
25916,1,20.5,0.0,0.0,0.0,1.0,30.773,1,30.773,0.0
25942,1,37.13,0.0,0.0,0.0,1.0,57.297,1,57.297,0.0
25944,1,67.65,0.0,0.0,0.0,1.0,118.032,1,118.032,0.0
25948,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
25956,1,50.12,0.0,0.0,0.0,1.0,77.906,1,77.906,0.0
25958,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
25976,1,27.64,0.0,0.0,0.0,1.0,41.719,1,41.719,0.0
25978,1,33.58,0.0,0.0,0.0,1.0,52.283,1,52.283,0.0
25980,1,16.56,0.0,0.0,0.0,1.0,25.338,1,25.338,0.0
25984,1,35.74,0.0,0.0,0.0,1.0,54.312,1,54.312,0.0
25996,1,19.49,0.0,0.0,0.0,1.0,28.789,1,28.789,0.0
25998,1,23.81,0.0,0.0,0.0,1.0,37.027,1,37.027,0.0
26004,1,5.62,0.0,0.0,0.0,1.0,8.757,1,8.757,0.0
26010,1,22.26,0.0,0.0,0.0,1.0,34.457,1,34.457,0.0
26012,1,18.61,0.0,0.0,0.0,1.0,28.958,1,28.958,0.0
26018,1,50.22,0.0,0.0,0.0,1.0,84.677,1,84.677,0.0
26024,1,8.41,0.0,0.0,0.0,1.0,13.087,1,13.087,0.0
26034,1,18.73,0.0,0.0,0.0,1.0,28.877,1,28.877,0.0
26040,1,40.25,0.0,0.0,0.0,1.0,64.669,1,64.669,0.0
26044,1,20.77,0.0,0.0,0.0,1.0,32.313,1,32.313,0.0
26056,1,9.56,0.0,0.0,0.0,1.0,14.872,1,14.872,0.0
26060,1,9.14,0.0,0.0,0.0,1.0,14.253,1,14.253,0.0
26064,1,19.67,0.0,0.0,0.0,1.0,29.993,1,29.993,0.0
26068,1,3.93,0.0,0.0,0.0,1.0,6.091,1,6.091,0.0
26072,1,17.42,0.0,0.0,0.0,1.0,26.101,1,26.101,0.0
26074,1,19.26,0.0,0.0,0.0,1.0,29.991,1,29.991,0.0
26076,1,38.78,0.0,0.0,0.0,1.0,60.687,1,60.687,0.0
26080,1,8.22,0.0,0.0,0.0,1.0,12.771,1,12.771,0.0
26084,1,43.03,0.0,0.0,0.0,1.0,66.664,1,66.664,0.0
26086,1,30.1,0.0,0.0,0.0,1.0,46.18,1,46.18,0.0
26096,1,7.02,0.0,0.0,0.0,1.0,10.922,1,10.922,0.0
26098,1,7.02,0.0,0.0,0.0,1.0,10.922,1,10.922,0.0
26106,1,23.15,0.0,0.0,0.0,1.0,35.859,1,35.859,0.0
26108,1,15.16,0.0,0.0,0.0,1.0,23.571,1,23.571,0.0
26110,1,9.03,0.0,0.0,0.0,1.0,14.064,1,14.064,0.0
26112,1,34.45,0.0,0.0,0.0,1.0,39.696,1,39.696,0.0
26116,1,32.44,0.0,0.0,0.0,1.0,44.998,1,44.998,0.0
26120,1,15.47,0.0,0.0,0.0,1.0,22.135,1,22.135,0.0
26126,1,26.87,0.0,0.0,0.0,1.0,40.059,1,40.059,0.0
26128,1,52.15,0.0,0.0,0.0,1.0,79.123,1,79.123,0.0
26130,1,13.0,0.0,0.0,0.0,1.0,18.235,1,18.235,0.0
26140,1,36.28,0.0,0.0,0.0,1.0,57.304,1,57.304,0.0
26162,1,22.4,0.0,0.0,0.0,1.0,32.164,1,32.164,0.0
26164,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
26166,1,0.65,0.0,0.0,0.0,1.0,0.918,1,0.918,0.0
26170,1,1.08,0.0,0.0,0.0,1.0,1.682,1,1.682,0.0
26204,1,27.81,0.0,0.0,0.0,1.0,41.725,1,41.725,0.0
26208,1,6.57,0.0,0.0,0.0,1.0,10.235,1,10.235,0.0
26218,1,16.85,0.0,0.0,0.0,1.0,26.126,1,26.126,0.0
26220,1,8.12,0.0,0.0,0.0,1.0,12.641,1,12.641,0.0
26224,1,18.76,0.0,0.0,0.0,1.0,29.2,1,29.2,0.0
26228,1,20.33,0.0,0.0,0.0,1.0,28.412,1,28.412,0.0
26234,1,6.51,0.0,0.0,0.0,1.0,10.007,1,10.007,0.0
26236,1,2.39,0.0,0.0,0.0,1.0,3.815,1,3.815,0.0
26302,1,2.29,0.0,0.0,0.0,1.0,3.605,1,3.605,0.0
26306,1,5.13,0.0,0.0,0.0,1.0,7.969,1,7.969,0.0
26310,1,14.69,0.0,0.0,0.0,1.0,21.764,1,21.764,0.0
26312,1,2.88,0.0,0.0,0.0,1.0,4.393,1,4.393,0.0
26318,1,6.04,0.0,0.0,0.0,1.0,8.749,1,8.749,0.0
26320,1,4.07,0.0,0.0,0.0,1.0,6.334,1,6.334,0.0
26322,1,4.43,0.0,0.0,0.0,1.0,6.898,1,6.898,0.0
26330,1,2.41,0.0,0.0,0.0,1.0,1.18,1,1.18,0.0
26354,1,5.77,0.0,0.0,0.0,1.0,8.967,1,8.967,0.0
26362,1,5.12,0.0,0.0,0.0,1.0,7.961,1,7.961,0.0
26368,1,4.97,0.0,0.0,0.0,1.0,7.741,1,7.741,0.0
26370,1,13.07,0.0,0.0,0.0,1.0,20.347,1,20.347,0.0
26372,1,0.74,0.0,0.0,0.0,1.0,1.152,1,1.152,0.0
