psse_bus_i,bus_name,base_kv,ide,pp_bus_idx
3342,Æ[­µ#1L,69.0,2,463
3352,Æ[­µ#2L,69.0,2,464
3361,ªQ¾ðH,161.0,1,465
3362,ªQ¾ð#1L,69.0,2,466
3363,ªQ¾ðD,23.9,1,467
3364,ªQ¾ð#2L,69.0,2,468
3371,±ö´òH,161.0,1,469
3372,±ö´ò#1L,69.0,2,470
3374,±ö´ò#2L,69.0,2,471
3391,·s¦ËH1,161.0,1,472
3392,·s¦Ë#1L,69.0,2,473
3393,·s¦ËD1,23.9,1,474
3394,·s¦Ë#2L,69.0,2,475
3401,·s¦ËH2,161.0,1,476
3411,­]®ßH,161.0,1,477
3412,­]®ßL,69.0,2,478
3413,­]®ßD,23.9,1,479
3421,«n´òH1,161.0,1,480
3422,«n´òL,69.0,2,481
3431,«n´òH2,161.0,1,482
3441,Às¨qH,161.0,1,483
3442,Às¨qL,69.0,2,484
3443,Às¨qD,23.9,1,485
3451,¯Î¤lH,161.0,1,486
3452,¯Î¤lL,69.0,2,487
3453,¯Î¤lD,23.9,1,488
3461,»É¤¤H,161.0,1,489
3462,»É¤¤L,69.0,2,490
3471,ÀY¥÷H,161.0,1,491
3472,ÀY¥÷L,69.0,2,492
3481,®H¨½H,161.0,1,493
3482,®H¨½L,69.0,2,494
3483,®H¨½D,23.9,1,495
3521,¤¤¥«H,161.0,1,496
3522,¤¤¥«L,69.0,2,497
3523,¤¤¥«D,23.9,1,498
3531,¤¤²MH,161.0,1,499
3532,¤¤²ML,69.0,2,500
3551,¹ü¤ÆH,161.0,1,501
3552,¹ü¤ÆL,69.0,2,502
3553,¹ü¤ÆD,23.9,1,503
3661,¶³ªLH,161.0,1,504
3662,¶³ªLL,69.0,2,505
3663,¶³ªLD,23.9,1,506
3671,¹Å¸qH,161.0,1,507
3672,¹Å¸qL,69.0,2,508
3673,¹Å¸qD,23.9,1,509
3681,·sÀçH,161.0,1,510
3682,·sÀçL,69.0,2,511
3683,·sÀçD,23.9,1,512
3691,¼ê´òH,161.0,1,513
3692,¼ê´òL,69.0,1,514
3694,°¨¤½L,69.0,1,515
3695,°¨¤½D,11.4,1,516
3701,¥_´äH,161.0,1,517
3702,¥_´äL,69.0,2,518
3711,¤s¤WH2,161.0,1,519
3721,¤s¤WH1,161.0,1,520
3722,¤s¤WL,69.0,2,521
3723,¤s¤WD,23.9,1,522
3731,¦w«nH,161.0,1,523
3732,¦w«nL,69.0,2,524
3733,¦w«nD,23.9,1,525
3761,¥x«nH,161.0,1,526
3762,¥x«nL,69.0,2,527
3763,¥x«nD,23.9,1,528
3791,©£¤sH,161.0,1,529
3792,©£¤sL,69.0,2,530
3793,©£¤sD,23.9,1,531
3811,ªÀªZH,161.0,1,532
3812,ªÀªZL,69.0,2,533
3813,ªÀªZD,23.9,1,534
3881,ªL¶éH,161.0,1,535
3882,ªL¶éL,69.0,2,536
3891,«n¤u¤AH,161.0,1,537
3892,«n¤u¤AL,69.0,2,538
3901,«n¤u¥ÒH,161.0,1,539
3903,«n¤u¥ÒD,23.9,1,540
3921,¾Á¤BH,161.0,1,541
3922,¾Á¤BL,69.0,2,542
3923,¾Á¤BD,23.9,1,543
3931,«ÌªFH,161.0,1,544
3932,«ÌªFL,69.0,2,545
3933,«ÌªFD,23.9,1,546
3941,·¬´äH,161.0,1,547
3942,·¬´äL,69.0,2,548
3951,ªá½¬H,161.0,1,549
3952,ªá½¬L,69.0,2,550
3953,ªá½¬D,23.9,1,551
3971,¥xªFH,161.0,1,552
3972,¥xªFL,69.0,2,553
3973,¥xªFD,23.9,1,554
4001,©M¤¯H,161.0,1,555
4002,©M¤¯D,23.9,1,556
4011,§Q¿AH,161.0,1,557
4012,§Q¿AD,23.9,1,558
4015,Ä¬ªFH,161.0,1,559
4016,Ä¬ªFD,23.9,1,560
4025,­û¤sH,161.0,1,561
4026,­û¤sD,23.9,1,562
4027,©y¥«H,161.0,1,563
4028,©y¥«D,23.9,1,564
4029,©y©²H,161.0,1,565
4030,©y©²D,23.9,1,566
4047,¼s¦wH,161.0,1,567
4048,¼s¦wD,23.9,1,568
4107,¦è´òH,161.0,1,569
4108,¦è´òD,23.9,1,570
4109,¥ÁÅvH,161.0,1,571
4110,¥ÁÅvD,23.9,1,572
4111,¤K³sH,161.0,1,573
4112,¤K³sD,23.9,1,574
4113,¥_¸êH,161.0,1,575
4114,¥_¸êD,23.9,1,576
4115,­XÐ¤H,161.0,1,577
4116,­XÐ¤D,23.9,1,578
4117,©WªLH,161.0,1,579
4118,©WªLD,23.9,1,580
4127,¿D©³H,161.0,1,581
4128,¿D©³D,23.9,1,582
4139,¥ú©úH,161.0,1,583
4140,¥ú©úD,23.9,1,584
4141,¥É¦¨Á{H,161.0,1,585
4142,¥É¦¨Á{D,23.9,1,586
4143,¶g¬üH,161.0,1,587
4144,¶g¬üD,23.9,1,588
4147,¾ôªFH,161.0,1,589
4148,¾ôªFD,23.9,1,590
4161,¨F±[H,161.0,1,591
4162,¨F±[D,23.9,1,592
4203,¤jª½H,161.0,1,593
4204,¤jª½D,23.9,1,594
4207,¦ÊÄÖH,161.0,1,595
4208,¦ÊÄÖD,23.9,1,596
4213,Äõ¶®H,161.0,1,597
4214,Äõ¶®D,23.9,1,598
4255,¥Á¥ÍH,161.0,1,599
4256,¥Á¥ÍD,23.9,1,600
4257,ºa¬PH,161.0,1,601
4258,ºa¬PD,23.9,1,602
4259,ªQ¦¿H,161.0,1,603
4260,ªQ¦¿D,23.9,1,604
4263,ªø¬KH,161.0,1,605
4264,ªø¬KD,23.9,1,606
4265,´°¤ÆH,161.0,1,607
4266,´°¤ÆD,23.9,1,608
4269,°ò«HH,161.0,1,609
4270,°ò«HD,23.9,1,610
4275,¤¤±[H,161.0,1,611
4276,¤¤±[D,23.9,1,612
4301,±`¼wH,161.0,1,613
4302,±`¼wD,23.9,1,614
4305,µØ³±H,161.0,1,615
4306,µØ³±D,23.9,1,616
4307,«Ø°êH,161.0,1,617
4308,«Ø°êD,23.9,1,618
4309,ªêªLH,161.0,1,619
4310,ªêªLD,23.9,1,620
4311,ºÖ©MH1,161.0,1,621
4313,ºÖ©MH2,161.0,1,622
4314,ºÖ©MD2,23.9,1,623
4351,¤¤¥¿H,161.0,1,624
4352,¤¤¥¿D,23.9,1,625
4353,«C¦~H,161.0,1,626
4354,«C¦~D,23.9,1,627
4357,«n®üH,161.0,1,628
4358,«n®üD,23.9,1,629
4359,¦¨³£H,161.0,1,630
4360,¦¨³£D,23.9,1,631
4361,«°¤¤H,161.0,1,632
4362,«°¤¤D,23.9,1,633
4401,ª×ÀsH,161.0,1,634
4402,ª×ÀsD,23.9,1,635
4403,¨q®ÔH,161.0,1,636
4404,¨q®ÔD,23.9,1,637
4409,¤T±iH,161.0,1,638
4410,¤T±iD,23.9,1,639
4411,¤jÂ×H,161.0,1,640
4412,¤jÂ×D,23.9,1,641
4425,¥@¶TH,161.0,1,642
4426,¥@¶TD,23.9,1,643
4437,¤C±iH,161.0,1,644
4438,¤C±iD,23.9,1,645
4505,¤Æ¦¨H,161.0,1,646
4506,¤Æ¦¨D,23.9,1,647
4507,¤G­«H,161.0,1,648
4508,¤G­«D,23.9,1,649
4513,­«·sH,161.0,1,650
4514,­«·sD,23.9,1,651
4527,ÀY«eH,161.0,1,652
4528,ÀY«eD,23.9,1,653
4551,³»®HH1,161.0,1,654
4552,³»®HD1,23.9,1,655
4553,³»®HH2,161.0,1,656
4554,³»®HD2,23.9,1,657
4557,«H«nH,161.0,1,658
4558,«H«nD,23.9,1,659
4559,¦w±dH,161.0,1,660
4560,¦w±dD,23.9,1,661
4563,¬a¶éH,161.0,1,662
4564,¬a¶éD,23.9,1,663
4567,·s¥ÁH,161.0,1,664
4568,·s¥ÁD,23.9,1,665
4573,´º¬PH,161.0,1,666
4574,´º¬PD,23.9,1,667
4575,ªÀ¦ZH,161.0,1,668
4576,ªÀ¦ZD,23.9,1,669
4583,¶©®¦H,161.0,1,670
4584,¶©®¦D,23.9,1,671
4601,ªL¤¤H,161.0,1,672
4602,ªL¤¤D,23.9,1,673
4603,©W³»H,161.0,1,674
4604,©W³»D,23.9,1,675
4607,°jÀsH,161.0,1,676
4608,°jÀsD,23.9,1,677
4611,«n®rH,161.0,1,678
4612,«n®rD,23.9,1,679
4613,§»¦wH,161.0,1,680
4614,§»¦wD,23.9,1,681
4617,¿³¬ÃH,161.0,1,682
4618,¿³¬ÃD,23.9,1,683
4625,ªO«°H,161.0,1,684
4626,ªO«°D,23.9,1,685
4627,ºÖÀçH,161.0,1,686
4628,ºÖÀçD,23.9,1,687
4629,¾ðªLH,161.0,1,688
4630,¾ðªLD,23.9,1,689
