fuel_type,plant_name,unit_name,pmax_kw,pmax_mw,total_outage_hr,planned_outage_hr,unplanned_outage_hr,n_unplanned_events,service_hr,for_rate,mttr_hr,mu_per_hr,lambda_per_hr
燃油,協和電廠,南竿#12,2500,2.5,8759.8,8759.8,0.0,0,0.2,0.001,48.0,0.02083333,2.085e-05
燃油,協和電廠,南竿#13,1500,1.5,513.53,513.53,0.0,0,8246.47,0.001,48.0,0.02083333,2.085e-05
燃油,協和電廠,南竿#8,1540,1.54,917.52,917.52,0.0,0,7842.48,0.001,48.0,0.02083333,2.085e-05
燃油,協和電廠,珠山#1,3850,3.85,16.33,16.33,0.0,0,8743.67,0.001,48.0,0.02083333,2.085e-05
燃油,協和電廠,珠山#2,3850,3.85,781.33,781.33,0.0,0,7978.67,0.001,48.0,0.02083333,2.085e-05
燃油,協和電廠,珠山#3,3850,3.85,279.78,279.78,0.0,0,8480.22,0.001,48.0,0.02083333,2.085e-05
燃油,協和電廠,珠山#4,3850,3.85,153.2,153.2,0.0,0,8606.8,0.001,48.0,0.02083333,2.085e-05
燃油,台中電廠,台中GAS#1,54000,54.0,129.25,129.25,0.0,0,8630.75,0.001,48.0,0.02083333,2.085e-05
燃油,台中電廠,台中GAS#2,54000,54.0,125.5,125.5,0.0,0,8634.5,0.001,48.0,0.02083333,2.085e-05
燃油,台中電廠,台中GAS#3,54000,54.0,242.67,242.67,0.0,0,8517.33,0.001,48.0,0.02083333,2.085e-05
燃油,台中電廠,台中GAS#4,54000,54.0,254.33,254.33,0.0,0,8505.67,0.001,48.0,0.02083333,2.085e-05
燃油,塔山電廠,塔山#1,7900,7.9,963.18,963.18,0.0,0,7796.82,0.001,48.0,0.02083333,2.085e-05
燃油,塔山電廠,塔山#10,11150,11.15,1415.95,1415.95,0.0,0,7344.05,0.001,48.0,0.02083333,2.085e-05
燃油,塔山電廠,塔山#2,7900,7.9,1014.02,1014.02,0.0,0,7745.98,0.001,48.0,0.02083333,2.085e-05
燃油,塔山電廠,塔山#3,7900,7.9,631.95,631.95,0.0,0,8128.05,0.001,48.0,0.02083333,2.085e-05
燃油,塔山電廠,塔山#4,7900,7.9,952.67,952.67,0.0,0,7807.33,0.001,48.0,0.02083333,2.085e-05
燃油,塔山電廠,塔山#5,8250,8.25,1175.98,1175.98,0.0,0,7584.02,0.001,48.0,0.02083333,2.085e-05
