time,lat,lon,intensity,radius
2025-07-04 00:00:00,19.7,118.7,0.28165938864628826,0.5
2025-07-04 01:00:00,19.633333333333333,118.60000000000001,0.2889374090247453,0.5
2025-07-04 02:00:00,19.566666666666666,118.5,0.2962154294032024,0.5
2025-07-04 03:00:00,19.5,118.4,0.30349344978165943,0.5
2025-07-04 04:00:00,19.533333333333335,118.33333333333334,0.31077147016011647,0.5
2025-07-04 05:00:00,19.566666666666666,118.26666666666667,0.31804949053857356,0.5
2025-07-04 06:00:00,19.6,118.2,0.3253275109170306,0.5
2025-07-04 07:00:00,19.733333333333334,118.16666666666667,0.3369723435225619,0.5
2025-07-04 08:00:00,19.866666666666667,118.13333333333333,0.3486171761280932,0.5
2025-07-04 09:00:00,20.0,118.1,0.36026200873362446,0.5
2025-07-04 10:00:00,20.1,118.06666666666666,0.3711790393013101,0.5
2025-07-04 11:00:00,20.2,118.03333333333333,0.38209606986899564,0.5
2025-07-04 12:00:00,20.3,118.0,0.39301310043668125,0.5
2025-07-04 13:00:00,20.266666666666666,117.9,0.4002911208151383,0.5
2025-07-04 14:00:00,20.233333333333334,117.8,0.4075691411935954,0.5
2025-07-04 15:00:00,20.2,117.7,0.4148471615720524,0.5
2025-07-04 16:00:00,20.166666666666668,117.60000000000001,0.4228529839883552,0.46664266858651304
2025-07-04 17:00:00,20.133333333333333,117.5,0.430858806404658,0.43328533717302614
2025-07-04 18:00:00,20.1,117.4,0.4388646288209608,0.3999280057595392
2025-07-04 19:00:00,20.1,117.4,0.44978165938864634,0.44444444444444436
2025-07-04 20:00:00,20.1,117.4,0.46069868995633195,0.4889608831293496
2025-07-04 21:00:00,20.1,117.4,0.4716157205240175,0.5334773218142548
2025-07-04 22:00:00,20.133333333333333,117.43333333333334,0.48253275109170307,0.577873770098392
2025-07-04 23:00:00,20.166666666666668,117.46666666666667,0.4934497816593887,0.6222702183825294
2025-07-05 00:00:00,20.2,117.5,0.5043668122270742,0.6666666666666666
2025-07-05 01:00:00,20.233333333333334,117.56666666666666,0.5232896652110626,0.6733861291096712
2025-07-05 02:00:00,20.266666666666666,117.63333333333334,0.542212518195051,0.6801055915526758
2025-07-05 03:00:00,20.3,117.7,0.5611353711790393,0.6868250539956804
2025-07-05 04:00:00,20.366666666666667,117.76666666666667,0.5764192139737991,0.7134629229661628
2025-07-05 05:00:00,20.433333333333334,117.83333333333334,0.591703056768559,0.740100791936645
2025-07-05 06:00:00,20.5,117.9,0.6069868995633189,0.7667386609071274
2025-07-05 07:00:00,20.533333333333335,117.93333333333334,0.6179039301310044,0.7667386609071274
2025-07-05 08:00:00,20.566666666666666,117.96666666666667,0.6288209606986901,0.7667386609071274
2025-07-05 09:00:00,20.6,118.0,0.6397379912663756,0.7667386609071274
2025-07-05 10:00:00,20.666666666666668,118.0,0.6513828238719069,0.7667386609071274
2025-07-05 11:00:00,20.733333333333334,118.0,0.6630276564774381,0.7667386609071274
2025-07-05 12:00:00,20.8,118.0,0.6746724890829694,0.7667386609071274
2025-07-05 13:00:00,20.833333333333332,118.0,0.6819505094614264,0.773338132949364
2025-07-05 14:00:00,20.866666666666667,118.0,0.6892285298398836,0.7799376049916006
2025-07-05 15:00:00,20.9,118.0,0.6965065502183406,0.7865370770338372
2025-07-05 16:00:00,20.966666666666665,118.03333333333333,0.7037845705967977,0.790976721862251
2025-07-05 17:00:00,21.033333333333335,118.06666666666666,0.7110625909752548,0.7954163666906646
2025-07-05 18:00:00,21.1,118.1,0.7183406113537119,0.7998560115190784
2025-07-05 19:00:00,21.166666666666668,118.13333333333333,0.7299854439592431,0.8110151187904967
2025-07-05 20:00:00,21.233333333333334,118.16666666666667,0.7416302765647744,0.8221742260619149
2025-07-05 21:00:00,21.3,118.2,0.7532751091703057,0.8333333333333333
2025-07-05 22:00:00,21.400000000000002,118.23333333333333,0.7641921397379913,0.8444924406047516
2025-07-05 23:00:00,21.5,118.26666666666667,0.7751091703056769,0.8556515478761698
2025-07-06 00:00:00,21.6,118.3,0.7860262008733625,0.8668106551475881
2025-07-06 01:00:00,21.7,118.36666666666666,0.8049490538573508,0.8778497720182385
2025-07-06 02:00:00,21.8,118.43333333333334,0.8238719068413393,0.8888888888888888
2025-07-06 03:00:00,21.9,118.5,0.8427947598253276,0.8999280057595392
2025-07-06 04:00:00,22.0,118.6,0.8617176128093159,0.9110871130309576
2025-07-06 05:00:00,22.099999999999998,118.7,0.8806404657933044,0.9222462203023758
2025-07-06 06:00:00,22.2,118.8,0.8995633187772927,0.9334053275737941
2025-07-06 07:00:00,22.333333333333332,118.93333333333334,0.9177583697234354,0.9334053275737941
2025-07-06 08:00:00,22.46666666666667,119.06666666666666,0.935953420669578,0.9334053275737941
2025-07-06 09:00:00,22.6,119.2,0.9541484716157207,0.9334053275737941
2025-07-06 10:00:00,22.733333333333334,119.33333333333333,0.9694323144104805,0.9334053275737941
2025-07-06 11:00:00,22.866666666666667,119.46666666666667,0.9847161572052402,0.9334053275737941
2025-07-06 12:00:00,23.0,119.6,1.0,0.9334053275737941
2025-07-06 13:00:00,23.1,119.73333333333333,0.9665211062590976,0.9222462203023758
2025-07-06 14:00:00,23.2,119.86666666666666,0.9330422125181951,0.9110871130309576
2025-07-06 15:00:00,23.3,120.0,0.8995633187772927,0.8999280057595392
2025-07-06 16:00:00,23.46666666666667,120.16666666666667,0.8617176128093159,0.8888888888888888
2025-07-06 17:00:00,23.633333333333333,120.33333333333333,0.8238719068413393,0.8778497720182385
2025-07-06 18:00:00,23.8,120.5,0.7860262008733625,0.8668106551475881
2025-07-06 19:00:00,24.066666666666666,120.66666666666667,0.7409024745269287,0.8890088792896568
2025-07-06 20:00:00,24.333333333333336,120.83333333333333,0.695778748180495,0.9112071034317255
2025-07-06 21:00:00,24.6,121.0,0.6506550218340612,0.9334053275737941
2025-07-06 22:00:00,24.900000000000002,121.13333333333334,0.6018922852983989,0.9556035517158628
2025-07-06 23:00:00,25.2,121.26666666666667,0.5531295487627366,0.9778017758579314
2025-07-07 00:00:00,25.5,121.4,0.5043668122270742,1.0
2025-07-07 01:00:00,25.766666666666666,121.43333333333334,0.4934497816593887,1.0
2025-07-07 02:00:00,26.033333333333335,121.46666666666667,0.48253275109170307,1.0
2025-07-07 03:00:00,26.3,121.5,0.4716157205240175,1.0
2025-07-07 04:00:00,26.46666666666667,121.5,0.46069868995633195,1.0
2025-07-07 05:00:00,26.633333333333333,121.5,0.44978165938864634,1.0
2025-07-07 06:00:00,26.8,121.5,0.4388646288209608,1.0
2025-07-07 07:00:00,26.866666666666667,121.53333333333333,0.44978165938864634,1.0
2025-07-07 08:00:00,26.933333333333334,121.56666666666666,0.46069868995633195,1.0
2025-07-07 09:00:00,27.0,121.6,0.4716157205240175,1.0
2025-07-07 10:00:00,27.033333333333335,121.63333333333333,0.48253275109170307,1.0
2025-07-07 11:00:00,27.066666666666666,121.66666666666667,0.4934497816593887,1.0
2025-07-07 12:00:00,27.1,121.7,0.5043668122270742,1.0
2025-07-07 13:00:00,27.233333333333334,121.8,0.4934497816593887,0.8333333333333334
2025-07-07 14:00:00,27.366666666666667,121.9,0.48253275109170307,0.6666666666666667
2025-07-07 15:00:00,27.5,122.0,0.4716157205240175,0.5
2025-07-07 16:00:00,27.6,122.06666666666666,0.46069868995633195,0.5
2025-07-07 17:00:00,27.7,122.13333333333334,0.44978165938864634,0.5
2025-07-07 18:00:00,27.8,122.2,0.4388646288209608,0.5
2025-07-07 19:00:00,27.866666666666667,122.23333333333333,0.4388646288209608,0.5
2025-07-07 20:00:00,27.933333333333334,122.26666666666667,0.4388646288209608,0.5
2025-07-07 21:00:00,28.0,122.3,0.4388646288209608,0.5
2025-07-07 22:00:00,28.033333333333335,122.3,0.4388646288209608,0.5
2025-07-07 23:00:00,28.066666666666666,122.3,0.4388646288209608,0.5
2025-07-08 00:00:00,28.1,122.3,0.4388646288209608,0.5
2025-07-08 01:00:00,28.066666666666666,122.26666666666667,0.430858806404658,0.5
2025-07-08 02:00:00,28.033333333333335,122.23333333333333,0.4228529839883552,0.5
2025-07-08 03:00:00,28.0,122.2,0.4148471615720524,0.5
2025-07-08 04:00:00,27.966666666666665,122.13333333333334,0.4075691411935954,0.5667146628269738
2025-07-08 05:00:00,27.933333333333334,122.06666666666666,0.4002911208151383,0.6334293256539477
2025-07-08 06:00:00,27.9,122.0,0.39301310043668125,0.7001439884809215
2025-07-08 07:00:00,27.9,121.86666666666666,0.39301310043668125,0.7001439884809215
2025-07-08 08:00:00,27.9,121.73333333333333,0.39301310043668125,0.7001439884809215
2025-07-08 09:00:00,27.9,121.6,0.39301310043668125,0.7001439884809215
2025-07-08 10:00:00,27.9,121.46666666666667,0.39301310043668125,0.7001439884809215
2025-07-08 11:00:00,27.9,121.33333333333333,0.39301310043668125,0.7001439884809215
2025-07-08 12:00:00,27.9,121.2,0.39301310043668125,0.7001439884809215
2025-07-08 13:00:00,27.9,121.10000000000001,0.39301310043668125,0.6334293256539477
2025-07-08 14:00:00,27.9,121.0,0.39301310043668125,0.5667146628269738
2025-07-08 15:00:00,27.9,120.9,0.39301310043668125,0.5
2025-07-08 16:00:00,27.866666666666667,120.83333333333334,0.39301310043668125,0.5
2025-07-08 17:00:00,27.833333333333332,120.76666666666667,0.39301310043668125,0.5
2025-07-08 18:00:00,27.8,120.7,0.39301310043668125,0.5
